"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,28,"vcm",100,256,5,10000,"3"
1,"grad",2,33,"vcm",100,256,5,10000,"3"
1,"grad",3,19,"vcm",100,256,5,10000,"3"
1,"grad",4,28,"vcm",100,256,5,10000,"3"
1,"grad",5,29,"vcm",100,256,5,10000,"3"
1,"grad",6,36,"vcm",100,256,5,10000,"3"
1,"grad",7,28,"vcm",100,256,5,10000,"3"
1,"grad",8,31,"vcm",100,256,5,10000,"3"
1,"grad",9,22,"vcm",100,256,5,10000,"3"
1,"grad",10,29,"vcm",100,256,5,10000,"3"
1,"grad",11,29,"vcm",100,256,5,10000,"3"
1,"grad",12,34,"vcm",100,256,5,10000,"3"
1,"grad",13,36,"vcm",100,256,5,10000,"3"
1,"grad",14,33,"vcm",100,256,5,10000,"3"
1,"grad",15,34,"vcm",100,256,5,10000,"3"
1,"grad",16,26,"vcm",100,256,5,10000,"3"
1,"grad",17,27,"vcm",100,256,5,10000,"3"
1,"grad",18,32,"vcm",100,256,5,10000,"3"
1,"grad",19,27,"vcm",100,256,5,10000,"3"
1,"grad",20,22,"vcm",100,256,5,10000,"3"
1,"grad",21,30,"vcm",100,256,5,10000,"3"
1,"grad",22,22,"vcm",100,256,5,10000,"3"
1,"grad",23,24,"vcm",100,256,5,10000,"3"
1,"grad",24,24,"vcm",100,256,5,10000,"3"
1,"grad",25,29,"vcm",100,256,5,10000,"3"
1,"grad",26,30,"vcm",100,256,5,10000,"3"
1,"grad",27,28,"vcm",100,256,5,10000,"3"
1,"grad",28,37,"vcm",100,256,5,10000,"3"
1,"grad",29,32,"vcm",100,256,5,10000,"3"
1,"grad",30,28,"vcm",100,256,5,10000,"3"
1,"grad",31,29,"vcm",100,256,5,10000,"3"
1,"grad",32,24,"vcm",100,256,5,10000,"3"
1,"grad",33,24,"vcm",100,256,5,10000,"3"
1,"grad",34,27,"vcm",100,256,5,10000,"3"
1,"grad",35,28,"vcm",100,256,5,10000,"3"
1,"grad",36,29,"vcm",100,256,5,10000,"3"
1,"grad",37,28,"vcm",100,256,5,10000,"3"
1,"grad",38,32,"vcm",100,256,5,10000,"3"
1,"grad",39,29,"vcm",100,256,5,10000,"3"
1,"grad",40,29,"vcm",100,256,5,10000,"3"
1,"grad",41,29,"vcm",100,256,5,10000,"3"
1,"grad",42,28,"vcm",100,256,5,10000,"3"
1,"grad",43,27,"vcm",100,256,5,10000,"3"
1,"grad",44,31,"vcm",100,256,5,10000,"3"
1,"grad",45,24,"vcm",100,256,5,10000,"3"
1,"grad",46,27,"vcm",100,256,5,10000,"3"
1,"grad",47,25,"vcm",100,256,5,10000,"3"
1,"grad",48,37,"vcm",100,256,5,10000,"3"
1,"grad",49,25,"vcm",100,256,5,10000,"3"
1,"grad",50,32,"vcm",100,256,5,10000,"3"
1,"grad",51,28,"vcm",100,256,5,10000,"3"
1,"grad",52,34,"vcm",100,256,5,10000,"3"
1,"grad",53,34,"vcm",100,256,5,10000,"3"
1,"grad",54,30,"vcm",100,256,5,10000,"3"
1,"grad",55,28,"vcm",100,256,5,10000,"3"
1,"grad",56,29,"vcm",100,256,5,10000,"3"
1,"grad",57,29,"vcm",100,256,5,10000,"3"
1,"grad",58,28,"vcm",100,256,5,10000,"3"
1,"grad",59,34,"vcm",100,256,5,10000,"3"
1,"grad",60,30,"vcm",100,256,5,10000,"3"
1,"grad",61,36,"vcm",100,256,5,10000,"3"
1,"grad",62,28,"vcm",100,256,5,10000,"3"
1,"grad",63,29,"vcm",100,256,5,10000,"3"
1,"grad",64,33,"vcm",100,256,5,10000,"3"
1,"grad",65,32,"vcm",100,256,5,10000,"3"
1,"grad",66,31,"vcm",100,256,5,10000,"3"
1,"grad",67,28,"vcm",100,256,5,10000,"3"
1,"grad",68,26,"vcm",100,256,5,10000,"3"
1,"grad",69,28,"vcm",100,256,5,10000,"3"
1,"grad",70,23,"vcm",100,256,5,10000,"3"
1,"grad",71,31,"vcm",100,256,5,10000,"3"
1,"grad",72,26,"vcm",100,256,5,10000,"3"
1,"grad",73,27,"vcm",100,256,5,10000,"3"
1,"grad",74,27,"vcm",100,256,5,10000,"3"
1,"grad",75,29,"vcm",100,256,5,10000,"3"
1,"grad",76,29,"vcm",100,256,5,10000,"3"
1,"grad",77,36,"vcm",100,256,5,10000,"3"
1,"grad",78,29,"vcm",100,256,5,10000,"3"
1,"grad",79,25,"vcm",100,256,5,10000,"3"
1,"grad",80,32,"vcm",100,256,5,10000,"3"
1,"grad",81,40,"vcm",100,256,5,10000,"3"
1,"grad",82,38,"vcm",100,256,5,10000,"3"
1,"grad",83,29,"vcm",100,256,5,10000,"3"
1,"grad",84,29,"vcm",100,256,5,10000,"3"
1,"grad",85,33,"vcm",100,256,5,10000,"3"
1,"grad",86,24,"vcm",100,256,5,10000,"3"
1,"grad",87,29,"vcm",100,256,5,10000,"3"
1,"grad",88,27,"vcm",100,256,5,10000,"3"
1,"grad",89,37,"vcm",100,256,5,10000,"3"
1,"grad",90,29,"vcm",100,256,5,10000,"3"
1,"grad",91,29,"vcm",100,256,5,10000,"3"
1,"grad",92,29,"vcm",100,256,5,10000,"3"
1,"grad",93,30,"vcm",100,256,5,10000,"3"
1,"grad",94,24,"vcm",100,256,5,10000,"3"
1,"grad",95,34,"vcm",100,256,5,10000,"3"
1,"grad",96,32,"vcm",100,256,5,10000,"3"
1,"grad",97,33,"vcm",100,256,5,10000,"3"
1,"grad",98,31,"vcm",100,256,5,10000,"3"
1,"grad",99,32,"vcm",100,256,5,10000,"3"
1,"grad",100,28,"vcm",100,256,5,10000,"3"
1,"fpt1",1,36,"vcm",100,256,5,10000,"3"
1,"fpt1",2,39,"vcm",100,256,5,10000,"3"
1,"fpt1",3,33,"vcm",100,256,5,10000,"3"
1,"fpt1",4,38,"vcm",100,256,5,10000,"3"
1,"fpt1",5,32,"vcm",100,256,5,10000,"3"
1,"fpt1",6,38,"vcm",100,256,5,10000,"3"
1,"fpt1",7,43,"vcm",100,256,5,10000,"3"
1,"fpt1",8,35,"vcm",100,256,5,10000,"3"
1,"fpt1",9,31,"vcm",100,256,5,10000,"3"
1,"fpt1",10,31,"vcm",100,256,5,10000,"3"
1,"fpt1",11,34,"vcm",100,256,5,10000,"3"
1,"fpt1",12,34,"vcm",100,256,5,10000,"3"
1,"fpt1",13,37,"vcm",100,256,5,10000,"3"
1,"fpt1",14,36,"vcm",100,256,5,10000,"3"
1,"fpt1",15,38,"vcm",100,256,5,10000,"3"
1,"fpt1",16,36,"vcm",100,256,5,10000,"3"
1,"fpt1",17,41,"vcm",100,256,5,10000,"3"
1,"fpt1",18,28,"vcm",100,256,5,10000,"3"
1,"fpt1",19,32,"vcm",100,256,5,10000,"3"
1,"fpt1",20,36,"vcm",100,256,5,10000,"3"
1,"fpt1",21,30,"vcm",100,256,5,10000,"3"
1,"fpt1",22,43,"vcm",100,256,5,10000,"3"
1,"fpt1",23,33,"vcm",100,256,5,10000,"3"
1,"fpt1",24,34,"vcm",100,256,5,10000,"3"
1,"fpt1",25,37,"vcm",100,256,5,10000,"3"
1,"fpt1",26,35,"vcm",100,256,5,10000,"3"
1,"fpt1",27,31,"vcm",100,256,5,10000,"3"
1,"fpt1",28,40,"vcm",100,256,5,10000,"3"
1,"fpt1",29,43,"vcm",100,256,5,10000,"3"
1,"fpt1",30,34,"vcm",100,256,5,10000,"3"
1,"fpt1",31,30,"vcm",100,256,5,10000,"3"
1,"fpt1",32,36,"vcm",100,256,5,10000,"3"
