"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,6,"hte",100,16,5,10000,"5"
1,"grad",2,2,"hte",100,16,5,10000,"5"
1,"grad",3,6,"hte",100,16,5,10000,"5"
1,"grad",4,7,"hte",100,16,5,10000,"5"
1,"grad",5,8,"hte",100,16,5,10000,"5"
1,"grad",6,2,"hte",100,16,5,10000,"5"
1,"grad",7,3,"hte",100,16,5,10000,"5"
1,"grad",8,4,"hte",100,16,5,10000,"5"
1,"grad",9,7,"hte",100,16,5,10000,"5"
1,"grad",10,2,"hte",100,16,5,10000,"5"
1,"grad",11,5,"hte",100,16,5,10000,"5"
1,"grad",12,4,"hte",100,16,5,10000,"5"
1,"grad",13,4,"hte",100,16,5,10000,"5"
1,"grad",14,4,"hte",100,16,5,10000,"5"
1,"grad",15,4,"hte",100,16,5,10000,"5"
1,"grad",16,4,"hte",100,16,5,10000,"5"
1,"grad",17,7,"hte",100,16,5,10000,"5"
1,"grad",18,8,"hte",100,16,5,10000,"5"
1,"grad",19,4,"hte",100,16,5,10000,"5"
1,"grad",20,7,"hte",100,16,5,10000,"5"
1,"grad",21,4,"hte",100,16,5,10000,"5"
1,"grad",22,6,"hte",100,16,5,10000,"5"
1,"grad",23,4,"hte",100,16,5,10000,"5"
1,"grad",24,4,"hte",100,16,5,10000,"5"
1,"grad",25,3,"hte",100,16,5,10000,"5"
1,"grad",26,3,"hte",100,16,5,10000,"5"
1,"grad",27,2,"hte",100,16,5,10000,"5"
1,"grad",28,6,"hte",100,16,5,10000,"5"
1,"grad",29,5,"hte",100,16,5,10000,"5"
1,"grad",30,5,"hte",100,16,5,10000,"5"
1,"grad",31,6,"hte",100,16,5,10000,"5"
1,"grad",32,5,"hte",100,16,5,10000,"5"
1,"grad",33,6,"hte",100,16,5,10000,"5"
1,"grad",34,5,"hte",100,16,5,10000,"5"
1,"grad",35,6,"hte",100,16,5,10000,"5"
1,"grad",36,4,"hte",100,16,5,10000,"5"
1,"grad",37,5,"hte",100,16,5,10000,"5"
1,"grad",38,2,"hte",100,16,5,10000,"5"
1,"grad",39,6,"hte",100,16,5,10000,"5"
1,"grad",40,5,"hte",100,16,5,10000,"5"
1,"grad",41,4,"hte",100,16,5,10000,"5"
1,"grad",42,3,"hte",100,16,5,10000,"5"
1,"grad",43,5,"hte",100,16,5,10000,"5"
1,"grad",44,3,"hte",100,16,5,10000,"5"
1,"grad",45,4,"hte",100,16,5,10000,"5"
1,"grad",46,3,"hte",100,16,5,10000,"5"
1,"grad",47,3,"hte",100,16,5,10000,"5"
1,"grad",48,3,"hte",100,16,5,10000,"5"
1,"grad",49,5,"hte",100,16,5,10000,"5"
1,"grad",50,5,"hte",100,16,5,10000,"5"
1,"grad",51,6,"hte",100,16,5,10000,"5"
1,"grad",52,4,"hte",100,16,5,10000,"5"
1,"grad",53,3,"hte",100,16,5,10000,"5"
1,"grad",54,5,"hte",100,16,5,10000,"5"
1,"grad",55,4,"hte",100,16,5,10000,"5"
1,"grad",56,5,"hte",100,16,5,10000,"5"
1,"grad",57,6,"hte",100,16,5,10000,"5"
1,"grad",58,7,"hte",100,16,5,10000,"5"
1,"grad",59,5,"hte",100,16,5,10000,"5"
1,"grad",60,5,"hte",100,16,5,10000,"5"
1,"grad",61,4,"hte",100,16,5,10000,"5"
1,"grad",62,4,"hte",100,16,5,10000,"5"
1,"grad",63,7,"hte",100,16,5,10000,"5"
1,"grad",64,4,"hte",100,16,5,10000,"5"
1,"grad",65,5,"hte",100,16,5,10000,"5"
1,"grad",66,4,"hte",100,16,5,10000,"5"
1,"grad",67,4,"hte",100,16,5,10000,"5"
1,"grad",68,6,"hte",100,16,5,10000,"5"
1,"grad",69,3,"hte",100,16,5,10000,"5"
1,"grad",70,4,"hte",100,16,5,10000,"5"
1,"grad",71,6,"hte",100,16,5,10000,"5"
1,"grad",72,4,"hte",100,16,5,10000,"5"
1,"grad",73,7,"hte",100,16,5,10000,"5"
1,"grad",74,5,"hte",100,16,5,10000,"5"
1,"grad",75,6,"hte",100,16,5,10000,"5"
1,"grad",76,3,"hte",100,16,5,10000,"5"
1,"grad",77,3,"hte",100,16,5,10000,"5"
1,"grad",78,3,"hte",100,16,5,10000,"5"
1,"grad",79,6,"hte",100,16,5,10000,"5"
1,"grad",80,3,"hte",100,16,5,10000,"5"
1,"grad",81,5,"hte",100,16,5,10000,"5"
1,"grad",82,4,"hte",100,16,5,10000,"5"
1,"grad",83,5,"hte",100,16,5,10000,"5"
1,"grad",84,3,"hte",100,16,5,10000,"5"
1,"grad",85,5,"hte",100,16,5,10000,"5"
1,"grad",86,4,"hte",100,16,5,10000,"5"
1,"grad",87,6,"hte",100,16,5,10000,"5"
1,"grad",88,5,"hte",100,16,5,10000,"5"
1,"grad",89,6,"hte",100,16,5,10000,"5"
1,"grad",90,4,"hte",100,16,5,10000,"5"
1,"grad",91,3,"hte",100,16,5,10000,"5"
1,"grad",92,3,"hte",100,16,5,10000,"5"
1,"grad",93,4,"hte",100,16,5,10000,"5"
1,"grad",94,7,"hte",100,16,5,10000,"5"
1,"grad",95,3,"hte",100,16,5,10000,"5"
1,"grad",96,3,"hte",100,16,5,10000,"5"
1,"grad",97,4,"hte",100,16,5,10000,"5"
1,"grad",98,4,"hte",100,16,5,10000,"5"
1,"grad",99,7,"hte",100,16,5,10000,"5"
1,"grad",100,4,"hte",100,16,5,10000,"5"
