"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,50.7024490230251,"hte",100,64,5,20000,"3"
"grad",1,2,FALSE,0,0,0,51.1456005651271,"hte",100,64,5,20000,"3"
"grad",1,3,FALSE,0,0,0,51.1616297090659,"hte",100,64,5,20000,"3"
"fpt1",1,1,FALSE,0,0,0,46.3658748300513,"hte",100,64,5,20000,"3"
"fpt1",1,2,FALSE,0,0,0,43.3805891040247,"hte",100,64,5,20000,"3"
"fpt1",1,3,FALSE,0,0,0,43.9627280901186,"hte",100,64,5,20000,"3"
"fpt2",1,1,FALSE,0,0,0,40.4537527081557,"hte",100,64,5,20000,"3"
"fpt2",1,2,FALSE,0,0,0,40.3913058059989,"hte",100,64,5,20000,"3"
"fpt2",1,3,FALSE,0,0,0,39.8635666130576,"hte",100,64,5,20000,"3"
