"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,34,"vcm",100,256,5,10000,"4"
1,"grad",2,30,"vcm",100,256,5,10000,"4"
1,"grad",3,25,"vcm",100,256,5,10000,"4"
1,"grad",4,31,"vcm",100,256,5,10000,"4"
1,"grad",5,34,"vcm",100,256,5,10000,"4"
1,"grad",6,29,"vcm",100,256,5,10000,"4"
1,"grad",7,39,"vcm",100,256,5,10000,"4"
1,"grad",8,29,"vcm",100,256,5,10000,"4"
1,"grad",9,25,"vcm",100,256,5,10000,"4"
1,"grad",10,38,"vcm",100,256,5,10000,"4"
1,"grad",11,34,"vcm",100,256,5,10000,"4"
1,"grad",12,24,"vcm",100,256,5,10000,"4"
1,"grad",13,35,"vcm",100,256,5,10000,"4"
1,"grad",14,37,"vcm",100,256,5,10000,"4"
1,"grad",15,24,"vcm",100,256,5,10000,"4"
1,"grad",16,33,"vcm",100,256,5,10000,"4"
1,"grad",17,29,"vcm",100,256,5,10000,"4"
1,"grad",18,26,"vcm",100,256,5,10000,"4"
1,"grad",19,30,"vcm",100,256,5,10000,"4"
1,"grad",20,30,"vcm",100,256,5,10000,"4"
1,"grad",21,30,"vcm",100,256,5,10000,"4"
1,"grad",22,29,"vcm",100,256,5,10000,"4"
1,"grad",23,35,"vcm",100,256,5,10000,"4"
1,"grad",24,26,"vcm",100,256,5,10000,"4"
1,"grad",25,38,"vcm",100,256,5,10000,"4"
1,"grad",26,28,"vcm",100,256,5,10000,"4"
1,"grad",27,29,"vcm",100,256,5,10000,"4"
1,"grad",28,27,"vcm",100,256,5,10000,"4"
1,"grad",29,27,"vcm",100,256,5,10000,"4"
1,"grad",30,31,"vcm",100,256,5,10000,"4"
1,"grad",31,35,"vcm",100,256,5,10000,"4"
1,"grad",32,31,"vcm",100,256,5,10000,"4"
1,"grad",33,34,"vcm",100,256,5,10000,"4"
1,"grad",34,25,"vcm",100,256,5,10000,"4"
1,"grad",35,33,"vcm",100,256,5,10000,"4"
1,"grad",36,42,"vcm",100,256,5,10000,"4"
1,"grad",37,34,"vcm",100,256,5,10000,"4"
1,"grad",38,34,"vcm",100,256,5,10000,"4"
1,"grad",39,34,"vcm",100,256,5,10000,"4"
1,"grad",40,42,"vcm",100,256,5,10000,"4"
1,"grad",41,34,"vcm",100,256,5,10000,"4"
1,"grad",42,36,"vcm",100,256,5,10000,"4"
1,"grad",43,31,"vcm",100,256,5,10000,"4"
1,"grad",44,33,"vcm",100,256,5,10000,"4"
1,"grad",45,25,"vcm",100,256,5,10000,"4"
1,"grad",46,32,"vcm",100,256,5,10000,"4"
1,"grad",47,33,"vcm",100,256,5,10000,"4"
1,"grad",48,32,"vcm",100,256,5,10000,"4"
1,"grad",49,30,"vcm",100,256,5,10000,"4"
1,"grad",50,26,"vcm",100,256,5,10000,"4"
1,"grad",51,30,"vcm",100,256,5,10000,"4"
1,"grad",52,39,"vcm",100,256,5,10000,"4"
1,"grad",53,28,"vcm",100,256,5,10000,"4"
1,"grad",54,33,"vcm",100,256,5,10000,"4"
1,"grad",55,30,"vcm",100,256,5,10000,"4"
1,"grad",56,26,"vcm",100,256,5,10000,"4"
1,"grad",57,30,"vcm",100,256,5,10000,"4"
1,"grad",58,26,"vcm",100,256,5,10000,"4"
1,"grad",59,36,"vcm",100,256,5,10000,"4"
1,"grad",60,36,"vcm",100,256,5,10000,"4"
1,"grad",61,41,"vcm",100,256,5,10000,"4"
1,"grad",62,29,"vcm",100,256,5,10000,"4"
1,"grad",63,37,"vcm",100,256,5,10000,"4"
1,"grad",64,32,"vcm",100,256,5,10000,"4"
1,"grad",65,28,"vcm",100,256,5,10000,"4"
1,"grad",66,33,"vcm",100,256,5,10000,"4"
1,"grad",67,24,"vcm",100,256,5,10000,"4"
1,"grad",68,33,"vcm",100,256,5,10000,"4"
1,"grad",69,34,"vcm",100,256,5,10000,"4"
1,"grad",70,30,"vcm",100,256,5,10000,"4"
1,"grad",71,33,"vcm",100,256,5,10000,"4"
1,"grad",72,29,"vcm",100,256,5,10000,"4"
1,"grad",73,29,"vcm",100,256,5,10000,"4"
1,"grad",74,29,"vcm",100,256,5,10000,"4"
1,"grad",75,37,"vcm",100,256,5,10000,"4"
1,"grad",76,39,"vcm",100,256,5,10000,"4"
1,"grad",77,37,"vcm",100,256,5,10000,"4"
1,"grad",78,30,"vcm",100,256,5,10000,"4"
1,"grad",79,28,"vcm",100,256,5,10000,"4"
1,"grad",80,27,"vcm",100,256,5,10000,"4"
1,"grad",81,25,"vcm",100,256,5,10000,"4"
1,"grad",82,36,"vcm",100,256,5,10000,"4"
1,"grad",83,28,"vcm",100,256,5,10000,"4"
1,"grad",84,28,"vcm",100,256,5,10000,"4"
1,"grad",85,26,"vcm",100,256,5,10000,"4"
1,"grad",86,36,"vcm",100,256,5,10000,"4"
