"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,6.03023970301729,"hte",100,4,5,20000,"2"
"grad",1,2,FALSE,0,0,0,6.02484393003397,"hte",100,4,5,20000,"2"
"grad",1,3,FALSE,0,0,0,6.02751259703655,"hte",100,4,5,20000,"2"
"fpt1",1,1,FALSE,0,0,0,5.77564245311078,"hte",100,4,5,20000,"2"
"fpt1",1,2,FALSE,0,0,0,5.85555451712571,"hte",100,4,5,20000,"2"
"fpt1",1,3,FALSE,0,0,0,5.86351797310635,"hte",100,4,5,20000,"2"
"fpt2",1,1,FALSE,0,0,0,5.62657670408953,"hte",100,4,5,20000,"2"
"fpt2",1,2,FALSE,0,0,0,5.62791674002074,"hte",100,4,5,20000,"2"
"fpt2",1,3,FALSE,0,0,0,5.65742903912906,"hte",100,4,5,20000,"2"
