"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,2,1000,100,1,"hte","1","1","1","multi_arm_causal_forest",0.0587161204885616
"fpt1",4,2,1000,100,1,"hte","1","1","1","multi_arm_causal_forest",0.0438496302316233
"fpt2",4,2,1000,100,1,"hte","1","1","1","multi_arm_causal_forest",0.0433496229104022
"grad",4,2,1000,100,2,"hte","1","1","1","multi_arm_causal_forest",0.0218642454648253
"fpt1",4,2,1000,100,2,"hte","1","1","1","multi_arm_causal_forest",0.0247160062920223
"fpt2",4,2,1000,100,2,"hte","1","1","1","multi_arm_causal_forest",0.0257368037683303
"grad",4,2,1000,100,3,"hte","1","1","1","multi_arm_causal_forest",0.0537168307316275
"fpt1",4,2,1000,100,3,"hte","1","1","1","multi_arm_causal_forest",0.0569690476550519
"fpt2",4,2,1000,100,3,"hte","1","1","1","multi_arm_causal_forest",0.0575970640574019
"grad",4,2,1000,100,4,"hte","1","1","1","multi_arm_causal_forest",0.0540588374183731
"fpt1",4,2,1000,100,4,"hte","1","1","1","multi_arm_causal_forest",0.0629571403263092
"fpt2",4,2,1000,100,4,"hte","1","1","1","multi_arm_causal_forest",0.0618043394829372
"grad",4,2,1000,100,5,"hte","1","1","1","multi_arm_causal_forest",0.0273570269145053
"fpt1",4,2,1000,100,5,"hte","1","1","1","multi_arm_causal_forest",0.0279898681937397
"fpt2",4,2,1000,100,5,"hte","1","1","1","multi_arm_causal_forest",0.0285105166181877
"grad",4,2,1000,100,6,"hte","1","1","1","multi_arm_causal_forest",0.0312922420507122
"fpt1",4,2,1000,100,6,"hte","1","1","1","multi_arm_causal_forest",0.0266044401063705
"fpt2",4,2,1000,100,6,"hte","1","1","1","multi_arm_causal_forest",0.0269306180066317
"grad",4,2,1000,100,7,"hte","1","1","1","multi_arm_causal_forest",0.0127208463305324
"fpt1",4,2,1000,100,7,"hte","1","1","1","multi_arm_causal_forest",0.014638982828176
"fpt2",4,2,1000,100,7,"hte","1","1","1","multi_arm_causal_forest",0.0148371514394893
"grad",4,2,1000,100,8,"hte","1","1","1","multi_arm_causal_forest",0.0322770484836696
"fpt1",4,2,1000,100,8,"hte","1","1","1","multi_arm_causal_forest",0.0324975080470534
"fpt2",4,2,1000,100,8,"hte","1","1","1","multi_arm_causal_forest",0.0328583698027864
"grad",4,2,1000,100,9,"hte","1","1","1","multi_arm_causal_forest",0.0294716720812771
"fpt1",4,2,1000,100,9,"hte","1","1","1","multi_arm_causal_forest",0.0324462801766249
"fpt2",4,2,1000,100,9,"hte","1","1","1","multi_arm_causal_forest",0.0311809174793532
"grad",4,2,1000,100,10,"hte","1","1","1","multi_arm_causal_forest",0.0319839109520053
"fpt1",4,2,1000,100,10,"hte","1","1","1","multi_arm_causal_forest",0.0317978535148681
"fpt2",4,2,1000,100,10,"hte","1","1","1","multi_arm_causal_forest",0.030424867215549
"grad",4,2,1000,100,11,"hte","1","1","1","multi_arm_causal_forest",0.0590054845992377
"fpt1",4,2,1000,100,11,"hte","1","1","1","multi_arm_causal_forest",0.0386320005320453
"fpt2",4,2,1000,100,11,"hte","1","1","1","multi_arm_causal_forest",0.0388199618117379
"grad",4,2,1000,100,12,"hte","1","1","1","multi_arm_causal_forest",0.0281113935833433
"fpt1",4,2,1000,100,12,"hte","1","1","1","multi_arm_causal_forest",0.0280508768744357
"fpt2",4,2,1000,100,12,"hte","1","1","1","multi_arm_causal_forest",0.0292659751877767
"grad",4,2,1000,100,13,"hte","1","1","1","multi_arm_causal_forest",0.0285421719836158
"fpt1",4,2,1000,100,13,"hte","1","1","1","multi_arm_causal_forest",0.0274097450842435
"fpt2",4,2,1000,100,13,"hte","1","1","1","multi_arm_causal_forest",0.026452924440173
"grad",4,2,1000,100,14,"hte","1","1","1","multi_arm_causal_forest",0.047631429956493
"fpt1",4,2,1000,100,14,"hte","1","1","1","multi_arm_causal_forest",0.0450124757892802
"fpt2",4,2,1000,100,14,"hte","1","1","1","multi_arm_causal_forest",0.0436187635539487
"grad",4,2,1000,100,15,"hte","1","1","1","multi_arm_causal_forest",0.0341909113759213
"fpt1",4,2,1000,100,15,"hte","1","1","1","multi_arm_causal_forest",0.0376155008979282
"fpt2",4,2,1000,100,15,"hte","1","1","1","multi_arm_causal_forest",0.0364854304197569
"grad",4,2,1000,100,16,"hte","1","1","1","multi_arm_causal_forest",0.0323304150531932
"fpt1",4,2,1000,100,16,"hte","1","1","1","multi_arm_causal_forest",0.0341656378191396
"fpt2",4,2,1000,100,16,"hte","1","1","1","multi_arm_causal_forest",0.03342822482109
"grad",4,2,1000,100,17,"hte","1","1","1","multi_arm_causal_forest",0.0344674114443755
"fpt1",4,2,1000,100,17,"hte","1","1","1","multi_arm_causal_forest",0.0366432297488012
"fpt2",4,2,1000,100,17,"hte","1","1","1","multi_arm_causal_forest",0.0368354074818348
"grad",4,2,1000,100,18,"hte","1","1","1","multi_arm_causal_forest",0.0464359890684681
"fpt1",4,2,1000,100,18,"hte","1","1","1","multi_arm_causal_forest",0.0382867472871445
"fpt2",4,2,1000,100,18,"hte","1","1","1","multi_arm_causal_forest",0.0391780133847207
"grad",4,2,1000,100,19,"hte","1","1","1","multi_arm_causal_forest",0.0431051543806048
"fpt1",4,2,1000,100,19,"hte","1","1","1","multi_arm_causal_forest",0.0404681094442446
"fpt2",4,2,1000,100,19,"hte","1","1","1","multi_arm_causal_forest",0.0422707667605983
"grad",4,2,1000,100,20,"hte","1","1","1","multi_arm_causal_forest",0.029791435600213
"fpt1",4,2,1000,100,20,"hte","1","1","1","multi_arm_causal_forest",0.0327580469189954
"fpt2",4,2,1000,100,20,"hte","1","1","1","multi_arm_causal_forest",0.0333276391568237
"grad",4,2,1000,100,21,"hte","1","1","1","multi_arm_causal_forest",0.0334556328925965
"fpt1",4,2,1000,100,21,"hte","1","1","1","multi_arm_causal_forest",0.0315386826104383
"fpt2",4,2,1000,100,21,"hte","1","1","1","multi_arm_causal_forest",0.0330047385225168
"grad",4,2,1000,100,22,"hte","1","1","1","multi_arm_causal_forest",0.043534266091728
"fpt1",4,2,1000,100,22,"hte","1","1","1","multi_arm_causal_forest",0.0302862639496276
"fpt2",4,2,1000,100,22,"hte","1","1","1","multi_arm_causal_forest",0.0307829880568967
"grad",4,2,1000,100,23,"hte","1","1","1","multi_arm_causal_forest",0.0419426679308097
"fpt1",4,2,1000,100,23,"hte","1","1","1","multi_arm_causal_forest",0.039882307964961
"fpt2",4,2,1000,100,23,"hte","1","1","1","multi_arm_causal_forest",0.0397366229988804
"grad",4,2,1000,100,24,"hte","1","1","1","multi_arm_causal_forest",0.0477928536617891
"fpt1",4,2,1000,100,24,"hte","1","1","1","multi_arm_causal_forest",0.0484700314374697
"fpt2",4,2,1000,100,24,"hte","1","1","1","multi_arm_causal_forest",0.0488554532096212
"grad",4,2,1000,100,25,"hte","1","1","1","multi_arm_causal_forest",0.035796942117128
"fpt1",4,2,1000,100,25,"hte","1","1","1","multi_arm_causal_forest",0.0332114822197516
"fpt2",4,2,1000,100,25,"hte","1","1","1","multi_arm_causal_forest",0.0347467589211173
"grad",4,2,1000,100,26,"hte","1","1","1","multi_arm_causal_forest",0.054270567216713
"fpt1",4,2,1000,100,26,"hte","1","1","1","multi_arm_causal_forest",0.0535611235414568
"fpt2",4,2,1000,100,26,"hte","1","1","1","multi_arm_causal_forest",0.0538700493752023
"grad",4,2,1000,100,27,"hte","1","1","1","multi_arm_causal_forest",0.0152909936962416
"fpt1",4,2,1000,100,27,"hte","1","1","1","multi_arm_causal_forest",0.0163005719090983
"fpt2",4,2,1000,100,27,"hte","1","1","1","multi_arm_causal_forest",0.015466709457152
"grad",4,2,1000,100,28,"hte","1","1","1","multi_arm_causal_forest",0.0256768152283621
"fpt1",4,2,1000,100,28,"hte","1","1","1","multi_arm_causal_forest",0.023069716194076
