"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,2,1000,100,1,"vcm","4",4,NA,"lm_forest",0.0346413186106044
"fpt1",4,2,1000,100,1,"vcm","4",4,NA,"lm_forest",0.03550849576533
"fpt2",4,2,1000,100,1,"vcm","4",4,NA,"lm_forest",0.0336170329697126
"grad",4,2,1000,100,2,"vcm","4",4,NA,"lm_forest",0.0250167633156395
"fpt1",4,2,1000,100,2,"vcm","4",4,NA,"lm_forest",0.0253049625767199
"fpt2",4,2,1000,100,2,"vcm","4",4,NA,"lm_forest",0.0256476400739443
"grad",4,2,1000,100,3,"vcm","4",4,NA,"lm_forest",0.0334908169973034
"fpt1",4,2,1000,100,3,"vcm","4",4,NA,"lm_forest",0.0357673434149705
"fpt2",4,2,1000,100,3,"vcm","4",4,NA,"lm_forest",0.0328366222000907
"grad",4,2,1000,100,4,"vcm","4",4,NA,"lm_forest",0.0261297927430476
"fpt1",4,2,1000,100,4,"vcm","4",4,NA,"lm_forest",0.027468486161863
"fpt2",4,2,1000,100,4,"vcm","4",4,NA,"lm_forest",0.0252921018465736
"grad",4,2,1000,100,5,"vcm","4",4,NA,"lm_forest",0.0311476567617646
"fpt1",4,2,1000,100,5,"vcm","4",4,NA,"lm_forest",0.0314444967251245
"fpt2",4,2,1000,100,5,"vcm","4",4,NA,"lm_forest",0.0301265214125579
"grad",4,2,1000,100,6,"vcm","4",4,NA,"lm_forest",0.023117551212875
"fpt1",4,2,1000,100,6,"vcm","4",4,NA,"lm_forest",0.0227919751644079
"fpt2",4,2,1000,100,6,"vcm","4",4,NA,"lm_forest",0.0229592823300739
"grad",4,2,1000,100,7,"vcm","4",4,NA,"lm_forest",0.0320349465188238
"fpt1",4,2,1000,100,7,"vcm","4",4,NA,"lm_forest",0.032287028671858
"fpt2",4,2,1000,100,7,"vcm","4",4,NA,"lm_forest",0.0318937059901808
"grad",4,2,1000,100,8,"vcm","4",4,NA,"lm_forest",0.0332462103368009
"fpt1",4,2,1000,100,8,"vcm","4",4,NA,"lm_forest",0.0313002853189314
"fpt2",4,2,1000,100,8,"vcm","4",4,NA,"lm_forest",0.0304791771464289
"grad",4,2,1000,100,9,"vcm","4",4,NA,"lm_forest",0.0299148310041938
"fpt1",4,2,1000,100,9,"vcm","4",4,NA,"lm_forest",0.0291527947190703
"fpt2",4,2,1000,100,9,"vcm","4",4,NA,"lm_forest",0.0320462205408907
"grad",4,2,1000,100,10,"vcm","4",4,NA,"lm_forest",0.0394216192995678
"fpt1",4,2,1000,100,10,"vcm","4",4,NA,"lm_forest",0.037750882447601
"fpt2",4,2,1000,100,10,"vcm","4",4,NA,"lm_forest",0.0368736011879364
"grad",4,2,1000,100,11,"vcm","4",4,NA,"lm_forest",0.0273895901871411
