"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"fpt1",4,2,1000,100,23,"hte","4","3","2","multi_arm_causal_forest",0.0245024264238313
"fpt2",4,2,1000,100,23,"hte","4","3","2","multi_arm_causal_forest",0.0263472812878812
"grad",4,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.0477913316717401
"fpt1",4,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.0425474898223811
"fpt2",4,2,1000,100,24,"hte","4","3","2","multi_arm_causal_forest",0.042515236581249
"grad",4,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.0318489637223749
"fpt1",4,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.0299882064232866
"fpt2",4,2,1000,100,25,"hte","4","3","2","multi_arm_causal_forest",0.0279614343530997
"grad",4,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.0393620824479118
"fpt1",4,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.039937447013887
"fpt2",4,2,1000,100,26,"hte","4","3","2","multi_arm_causal_forest",0.0389786590123263
"grad",4,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.0531059774110849
"fpt1",4,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.0521034691683783
"fpt2",4,2,1000,100,27,"hte","4","3","2","multi_arm_causal_forest",0.0508177772133132
"grad",4,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.0929990106532914
"fpt1",4,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.0910862192025493
"fpt2",4,2,1000,100,28,"hte","4","3","2","multi_arm_causal_forest",0.0849448427133343
"grad",4,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.0672753247506489
"fpt1",4,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.0695056005596685
"fpt2",4,2,1000,100,29,"hte","4","3","2","multi_arm_causal_forest",0.0721872093534187
"grad",4,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.110476616818538
"fpt1",4,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.0922068299313508
"fpt2",4,2,1000,100,30,"hte","4","3","2","multi_arm_causal_forest",0.0807556827442207
"grad",4,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.0431552752752121
"fpt1",4,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.0521573577269811
"fpt2",4,2,1000,100,31,"hte","4","3","2","multi_arm_causal_forest",0.0476794085766331
"grad",4,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0431062018986209
"fpt1",4,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0445719918501849
"fpt2",4,2,1000,100,32,"hte","4","3","2","multi_arm_causal_forest",0.0457251849453249
"grad",4,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.110707811453271
"fpt1",4,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.110209847460858
"fpt2",4,2,1000,100,33,"hte","4","3","2","multi_arm_causal_forest",0.108676229460518
"grad",4,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.0879247086736374
"fpt1",4,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.0874231968827425
"fpt2",4,2,1000,100,34,"hte","4","3","2","multi_arm_causal_forest",0.0898017883205995
"grad",4,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0316684266118478
"fpt1",4,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0342727329837167
"fpt2",4,2,1000,100,35,"hte","4","3","2","multi_arm_causal_forest",0.0303982029415482
"grad",4,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.0414835851192864
"fpt1",4,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.042559635250888
"fpt2",4,2,1000,100,36,"hte","4","3","2","multi_arm_causal_forest",0.0406616183383958
"grad",4,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.036514714367036
"fpt1",4,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.0416926528275873
"fpt2",4,2,1000,100,37,"hte","4","3","2","multi_arm_causal_forest",0.0479767589745505
"grad",4,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0479648072774625
"fpt1",4,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0509809423731277
"fpt2",4,2,1000,100,38,"hte","4","3","2","multi_arm_causal_forest",0.0453532804804999
"grad",4,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.0206830024679612
"fpt1",4,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.0249035696517654
"fpt2",4,2,1000,100,39,"hte","4","3","2","multi_arm_causal_forest",0.0272615020665661
"grad",4,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.0454434103990281
"fpt1",4,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.0480585852098359
"fpt2",4,2,1000,100,40,"hte","4","3","2","multi_arm_causal_forest",0.0504427844147938
"grad",4,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.0266561145846507
"fpt1",4,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.024168295448113
"fpt2",4,2,1000,100,41,"hte","4","3","2","multi_arm_causal_forest",0.0238835086122195
"grad",4,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.0485422463128618
"fpt1",4,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.0526508326164014
"fpt2",4,2,1000,100,42,"hte","4","3","2","multi_arm_causal_forest",0.0529377387587099
"grad",4,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.0531999484973889
"fpt1",4,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.0556149413652164
"fpt2",4,2,1000,100,43,"hte","4","3","2","multi_arm_causal_forest",0.0530686652297376
"grad",4,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.0734528646457339
"fpt1",4,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.0770636311254655
"fpt2",4,2,1000,100,44,"hte","4","3","2","multi_arm_causal_forest",0.0783008125083342
"grad",4,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.0270792029373411
"fpt1",4,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.0308419583114355
"fpt2",4,2,1000,100,45,"hte","4","3","2","multi_arm_causal_forest",0.0299046843723131
"grad",4,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0724869403166609
"fpt1",4,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0724782798175336
"fpt2",4,2,1000,100,46,"hte","4","3","2","multi_arm_causal_forest",0.0764344299815788
"grad",4,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0803868932627971
"fpt1",4,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0901837413907615
"fpt2",4,2,1000,100,47,"hte","4","3","2","multi_arm_causal_forest",0.0953546355170539
"grad",4,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.0239423106931672
"fpt1",4,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.025727506174939
"fpt2",4,2,1000,100,48,"hte","4","3","2","multi_arm_causal_forest",0.0257720361422209
"grad",4,2,1000,100,49,"hte","4","3","2","multi_arm_causal_forest",0.0610721618004396
"fpt1",4,2,1000,100,49,"hte","4","3","2","multi_arm_causal_forest",0.0677340441104223
"fpt2",4,2,1000,100,49,"hte","4","3","2","multi_arm_causal_forest",0.066054559541379
"grad",4,2,1000,100,50,"hte","4","3","2","multi_arm_causal_forest",0.0381859483082016
"fpt1",4,2,1000,100,50,"hte","4","3","2","multi_arm_causal_forest",0.0373700910905171
"fpt2",4,2,1000,100,50,"hte","4","3","2","multi_arm_causal_forest",0.0405620018672936
"grad",16,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0953634326759031
"fpt1",16,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0953634326759031
"fpt2",16,2,1000,100,1,"hte","4","3","2","multi_arm_causal_forest",0.0953634326759031
"grad",16,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.0771890326610293
"fpt1",16,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.0771890326610293
"fpt2",16,2,1000,100,2,"hte","4","3","2","multi_arm_causal_forest",0.0771890326610293
"grad",16,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.101123621732454
"fpt1",16,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.101123621732454
"fpt2",16,2,1000,100,3,"hte","4","3","2","multi_arm_causal_forest",0.101123621732454
"grad",16,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.108948107273437
"fpt1",16,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.108948107273437
"fpt2",16,2,1000,100,4,"hte","4","3","2","multi_arm_causal_forest",0.108948107273437
"grad",16,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0982942983839136
"fpt1",16,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0982942983839136
"fpt2",16,2,1000,100,5,"hte","4","3","2","multi_arm_causal_forest",0.0982942983839136
"grad",16,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.121937454674018
"fpt1",16,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.122058820531724
"fpt2",16,2,1000,100,6,"hte","4","3","2","multi_arm_causal_forest",0.122058820531724
"grad",16,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.120190674902456
"fpt1",16,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.120190674902456
"fpt2",16,2,1000,100,7,"hte","4","3","2","multi_arm_causal_forest",0.120190674902456
"grad",16,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.124696500699606
"fpt1",16,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.124696500699606
"fpt2",16,2,1000,100,8,"hte","4","3","2","multi_arm_causal_forest",0.124696500699606
"grad",16,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.0882495063626836
"fpt1",16,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.0882495063626836
"fpt2",16,2,1000,100,9,"hte","4","3","2","multi_arm_causal_forest",0.0882495063626836
"grad",16,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0991669049166483
"fpt1",16,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0991669049166483
"fpt2",16,2,1000,100,10,"hte","4","3","2","multi_arm_causal_forest",0.0991669049166483
"grad",16,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0891990852808438
"fpt1",16,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0891990852808438
"fpt2",16,2,1000,100,11,"hte","4","3","2","multi_arm_causal_forest",0.0891990852808438
"grad",16,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0831911795592439
"fpt1",16,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0831911795592439
"fpt2",16,2,1000,100,12,"hte","4","3","2","multi_arm_causal_forest",0.0831822184758298
"grad",16,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0620442398606707
"fpt1",16,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0620442398606707
"fpt2",16,2,1000,100,13,"hte","4","3","2","multi_arm_causal_forest",0.0620442398606707
"grad",16,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.0682518275826873
"fpt1",16,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.0682518275826873
"fpt2",16,2,1000,100,14,"hte","4","3","2","multi_arm_causal_forest",0.0682518275826873
"grad",16,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.0818622787415561
"fpt1",16,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.0818622787415561
"fpt2",16,2,1000,100,15,"hte","4","3","2","multi_arm_causal_forest",0.0818622787415561
"grad",16,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.0679523816714941
"fpt1",16,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.0679523816714941
"fpt2",16,2,1000,100,16,"hte","4","3","2","multi_arm_causal_forest",0.0679523816714941
"grad",16,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.127544786923878
"fpt1",16,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.127544786923878
"fpt2",16,2,1000,100,17,"hte","4","3","2","multi_arm_causal_forest",0.127544786923878
