"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
10,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0208724790718406,0.0163217530352995,1.27881355799829
8,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0215461789630353,0.0191757390275598,1.12361661430982
6,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0189201040193439,0.0173957500373945,1.08762795387796
4,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0180161631433293,0.0175441320752725,1.0269053530851
10,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0285862000891939,0.028173511964269,1.01464808950507
8,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest",0.031783998128958,0.0236276700161397,1.3452023880157
6,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0250387761043385,0.0229521919973195,1.09091001448849
4,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest",0.0255659531103447,0.0220087559428066,1.16162645343435
10,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0245671349111944,0.0204379810020328,1.20203335685413
8,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0208086190978065,0.0185390010010451,1.12242396969683
6,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0216693500988185,0.0181198930367827,1.19588730765852
4,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0200464779045433,0.0155284670181572,1.29095021943268
10,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0312284829560667,0.0263375190552324,1.18570328855112
8,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0295291910879314,0.0246299071004614,1.19891605630044
6,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0239575270097703,0.0229619391029701,1.04335818078498
4,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest",0.0235380809754133,0.020294388057664,1.15983201407861
10,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0443239019950852,0.0411570040741935,1.07694675528818
8,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0421935820486397,0.0349626550450921,1.20681858955567
6,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0479126010322943,0.0316735330270603,1.51270150353483
4,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest",0.035354478051886,0.0301656509982422,1.17201110806281
10,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0643533850088716,0.0482856819871813,1.33276330291774
8,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0488346861675382,0.0523175849812105,0.933427760189557
6,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0456088309874758,0.0436140290694311,1.04573762068322
4,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest",0.0490847990149632,0.049382186960429,0.993977829582476
