"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.038874056073837,10,3,5000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0241232980042696,10,3,5000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0360290450043976,8,3,5000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0231172050116584,8,3,5000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0283019469352439,6,3,5000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0218404670013115,6,3,5000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0272425441071391,4,3,5000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0272320579970255,4,3,5000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0410903230076656,10,3,6000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0308689170051366,10,3,6000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.047745143994689,8,3,6000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0331188780255616,8,3,6000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0377457370050251,6,3,6000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0304361860034987,6,3,6000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0300483480095863,4,3,6000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0289524380350485,4,3,6000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0441334900679067,10,3,5000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.026557928067632,10,3,5000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0371788010234013,8,3,5000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0283524619881064,8,3,5000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0385378979844972,6,3,5000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0247769069392234,6,3,5000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0287294980371371,4,3,5000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0234276480041444,4,3,5000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0550965770380571,10,3,6000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0322780631249771,10,3,6000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0409986189333722,8,3,6000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0317204890307039,8,3,6000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0391135670943186,6,3,6000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0307609360897914,6,3,6000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0395712000317872,4,3,6000,5,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0378003349760547,4,3,6000,5,"vcm","1",1,NA,"lm_forest"
"grad",0.0810469249263406,10,3,5000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0516811269335449,10,3,5000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.0744261330692098,8,3,5000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.052557772025466,8,3,5000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.0814377709757537,6,3,5000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0495718560414389,6,3,5000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.064307841937989,4,3,5000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0496900989674032,4,3,5000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.097619473002851,10,3,6000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0709335650317371,10,3,6000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.0826176579575986,8,3,6000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0813031600555405,8,3,6000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.0822521570371464,6,3,6000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.060185861075297,6,3,6000,10,"vcm","1",1,NA,"lm_forest"
"grad",0.0726311140460894,4,3,6000,10,"vcm","1",1,NA,"lm_forest"
"fpt2",0.0595472981221974,4,3,6000,10,"vcm","1",1,NA,"lm_forest"
