"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
10,3,5000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0167401970829815,0.0138970171101391,1.20458922589712
8,3,5000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0224314781371504,0.0210993849905208,1.06313421681381
6,3,5000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0160466210218146,0.0182338479207829,0.880045785811604
4,3,5000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0126042370684445,0.0183326549595222,0.687529280198322
10,3,6000,1,"hte","5",4,3,"multi_arm_causal_forest",0.041183311957866,0.17928831896279,0.229704378936216
8,3,6000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0249812221154571,0.0191401080228388,1.30517665238087
6,3,6000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0231325639178976,0.0170830871211365,1.35412081867078
4,3,6000,1,"hte","5",4,3,"multi_arm_causal_forest",0.0232201470062137,0.0159398609539494,1.45673460222126
10,3,5000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0184702570550144,0.0156369970645756,1.18118951987638
8,3,5000,5,"hte","5",4,3,"multi_arm_causal_forest",0.020095227053389,0.0146297850878909,1.3735832025326
6,3,5000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0231028780108318,0.0202395080123097,1.14147428864282
4,3,5000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0187542299972847,0.014572434942238,1.28696611593206
10,3,6000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0279473101254553,0.0221293619833887,1.26290627567274
8,3,6000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0224895430728793,0.0171241430798545,1.31332370723629
6,3,6000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0207055481150746,0.0188661731081083,1.09749592545484
4,3,6000,5,"hte","5",4,3,"multi_arm_causal_forest",0.0301623679697514,0.0247739829355851,1.21750176579102
10,3,5000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0597533140098676,0.0304701860295609,1.96104198221493
8,3,5000,10,"hte","5",4,3,"multi_arm_causal_forest",0.043082827120088,0.0330682940548286,1.30284395828388
6,3,5000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0368659500963986,0.0293302030768245,1.25692788419622
4,3,5000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0298816139111295,0.0269161219475791,1.1101753056895
10,3,6000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0404829239705577,0.0346225089160725,1.16926604217768
8,3,6000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0409993400098756,0.026142041082494,1.56832972148188
6,3,6000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0431718219770119,0.0344139690278098,1.25448540800757
4,3,6000,10,"hte","5",4,3,"multi_arm_causal_forest",0.0368512999266386,0.041806951048784,0.881463464858686
