"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",66,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",67,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",68,150
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",69,145
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",70,147
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",71,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",72,143
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",73,152
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",74,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",75,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",76,142
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",77,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",78,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",79,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",80,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",81,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",82,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",83,157
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",84,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",85,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",86,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",87,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",88,154
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",89,142
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",90,148
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",91,152
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",92,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",93,149
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",94,146
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",95,144
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",96,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",97,151
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",98,143
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",99,153
"grad",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",100,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",1,150
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",2,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",3,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",4,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",5,151
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",6,145
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",7,148
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",8,146
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",9,149
"FPT",4,5,20000,100,1,"hte","1",1,1,"multi_arm_causal_forest",10,154
