"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
10,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0254856540123001,0.0223908190382645,1.13821892663894
8,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0255796229466796,0.0208343110280111,1.22776428326756
6,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0228507809806615,0.01983389002271,1.15210787971987
4,3,5000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0207914700731635,0.0186329610878602,1.1158435835896
10,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0328387229237705,0.027111156960018,1.21126232171498
8,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0304308390477672,0.0254452569643036,1.19593365044251
6,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0228311030659825,0.0230962430359796,0.988520212158139
4,3,6000,1,"hte","1",1,1,"multi_arm_causal_forest",0.0230433620745316,0.0204928809544072,1.12445693340037
10,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0249464650405571,0.0193754659267142,1.28752852369665
8,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0206040369812399,0.0179769590031356,1.14613583852787
6,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0191237910185009,0.0171912019141018,1.11241733498655
4,3,5000,5,"hte","1",1,1,"multi_arm_causal_forest",0.021053517004475,0.0183690770063549,1.14613907912691
10,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0283336999127641,0.0247343220980838,1.14552158738804
8,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0273741550045088,0.0257921221200377,1.06133783319993
6,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0285314610227942,0.024579027085565,1.16080514185813
4,3,6000,5,"hte","1",1,1,"multi_arm_causal_forest",0.0245561540359631,0.0231037569465116,1.06286410876006
10,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0846275379881263,0.0400305250659585,2.11407514262391
8,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0396207490703091,0.0448706509778276,0.882999203418896
6,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0450818480458111,0.0369603539584205,1.21973528977907
4,3,5000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0393892019055784,0.0358075051335618,1.10002642626614
10,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest",0.055844703107141,0.0454850631067529,1.22775916515877
8,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0576314980862662,0.0470400830963627,1.22515723384686
6,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0502627000678331,0.0408771709771827,1.22960319577618
4,3,6000,10,"hte","1",1,1,"multi_arm_causal_forest",0.0674091720720753,0.0405544630484655,1.66218874582352
