"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta3",0.0151055574691357
"grad",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta4",0.0123366708208193
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta1",0.0113624370646896
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta2",0.013091338258958
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta3",0.0156804670365608
"FPT",4,5,20000,100,8,"vcm","4",4,NA,"lm_forest","theta4",0.0122552538671986
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta1",0.0159357342705296
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta2",0.0126698143686239
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta3",0.0118563124418835
"grad",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta4",0.0095432133627929
"FPT",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta1",0.0161676514675097
"FPT",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta2",0.0131791376800896
"FPT",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta3",0.0112081968808085
"FPT",4,5,20000,100,9,"vcm","4",4,NA,"lm_forest","theta4",0.00975531788355878
"grad",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta1",0.0158910697605714
"grad",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta2",0.0134025334795702
"grad",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta3",0.0143337225846415
"grad",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta4",0.0153104807337352
"FPT",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta1",0.0150168668462583
"FPT",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta2",0.0134685483466786
"FPT",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta3",0.0140188958573364
"FPT",4,5,20000,100,10,"vcm","4",4,NA,"lm_forest","theta4",0.01479609140618
"grad",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta1",0.01126923657392
"grad",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta2",0.0159504885403621
"grad",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta3",0.0158337396179895
"grad",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta4",0.0149490567731036
"FPT",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta1",0.0107865058657076
"FPT",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta2",0.0165989252232916
"FPT",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta3",0.0157419850212044
"FPT",4,5,20000,100,11,"vcm","4",4,NA,"lm_forest","theta4",0.0144002429739402
"grad",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta1",0.0182559185820193
"grad",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta2",0.0149144426198505
"grad",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta3",0.0150185984037603
"grad",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta4",0.0109262351740157
"FPT",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta1",0.0173427809378289
"FPT",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta2",0.0154865096143304
"FPT",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta3",0.0149476425362483
"FPT",4,5,20000,100,12,"vcm","4",4,NA,"lm_forest","theta4",0.0110559566835206
"grad",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta1",0.012215336150704
"grad",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta2",0.0125055959395282
"grad",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta3",0.00972749919326324
"grad",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta4",0.0111599326824672
"FPT",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta1",0.0124860571430367
"FPT",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta2",0.0123229294702046
"FPT",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta3",0.0100045990826481
"FPT",4,5,20000,100,13,"vcm","4",4,NA,"lm_forest","theta4",0.0114004591029704
"grad",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta1",0.0156828578314193
"grad",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta2",0.0211154583127714
"grad",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta3",0.0176304868414244
"grad",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta4",0.0146196604471993
"FPT",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta1",0.0155836682038717
"FPT",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta2",0.0212233205868802
"FPT",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta3",0.017563584993025
"FPT",4,5,20000,100,14,"vcm","4",4,NA,"lm_forest","theta4",0.0147404521321994
"grad",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta1",0.0100682775167858
"grad",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta2",0.00947209315272735
"grad",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta3",0.0141286108372385
"grad",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta4",0.0102350706255948
"FPT",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta1",0.00952787274459638
"FPT",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta2",0.00933429512595203
"FPT",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta3",0.0136797871481971
"FPT",4,5,20000,100,15,"vcm","4",4,NA,"lm_forest","theta4",0.0100101049813974
"grad",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta1",0.0127525889418381
"grad",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta2",0.0126296145124344
"grad",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta3",0.0153047090425571
"grad",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta4",0.0167951193937352
"FPT",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta1",0.0130122278132708
"FPT",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta2",0.0128520980626588
"FPT",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta3",0.0149943562015035
"FPT",4,5,20000,100,16,"vcm","4",4,NA,"lm_forest","theta4",0.0162509318361726
"grad",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta1",0.0163850767870594
"grad",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta2",0.0155982213941296
"grad",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta3",0.0159172265327807
"grad",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta4",0.0172195641875529
"FPT",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta1",0.0162391477901301
"FPT",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta2",0.0161424791964547
"FPT",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta3",0.0155671157466428
"FPT",4,5,20000,100,17,"vcm","4",4,NA,"lm_forest","theta4",0.0169271449952939
"grad",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta1",0.0213404608946662
"grad",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta2",0.0157366026528899
"grad",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta3",0.0196980692077835
"grad",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta4",0.0128810888984563
"FPT",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta1",0.0215345582976409
"FPT",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta2",0.0161772706634906
"FPT",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta3",0.0194031092359626
"FPT",4,5,20000,100,18,"vcm","4",4,NA,"lm_forest","theta4",0.0128012049885543
"grad",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta1",0.0167599157527014
"grad",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta2",0.0142927829216971
"grad",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta3",0.0119959420149772
"grad",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta4",0.0209800283847679
"FPT",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta1",0.0171393702330937
"FPT",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta2",0.0143262739958144
"FPT",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta3",0.0121497600578134
"FPT",4,5,20000,100,19,"vcm","4",4,NA,"lm_forest","theta4",0.0211875469745529
"grad",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta1",0.0136769161448679
"grad",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta2",0.0132257638897574
"grad",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta3",0.0128470721515738
"grad",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta4",0.0114357969832417
"FPT",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta1",0.0131565590033465
"FPT",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta2",0.0130658005688841
"FPT",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta3",0.013076609734719
"FPT",4,5,20000,100,20,"vcm","4",4,NA,"lm_forest","theta4",0.0117307567716575
"grad",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta1",0.013903734524665
"grad",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta2",0.0115570205008918
"grad",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta3",0.0127583219672043
"grad",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta4",0.0136559652654231
"FPT",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta1",0.0138524401990698
"FPT",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta2",0.0115729791353343
"FPT",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta3",0.0126805122295476
"FPT",4,5,20000,100,21,"vcm","4",4,NA,"lm_forest","theta4",0.0135291169192417
"grad",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta1",0.0129085892655586
"grad",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta2",0.0146237358339001
"grad",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta3",0.0200366297245092
"grad",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta4",0.0144281992235599
"FPT",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta1",0.0133083415233593
"FPT",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta2",0.014506465435142
"FPT",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta3",0.0204067860412316
"FPT",4,5,20000,100,22,"vcm","4",4,NA,"lm_forest","theta4",0.0144429561316027
"grad",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta1",0.0171357420828667
"grad",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta2",0.0154444694075815
"grad",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta3",0.0157730155293146
"grad",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta4",0.0155388592174571
"FPT",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta1",0.0174362536784872
"FPT",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta2",0.0157787216061653
"FPT",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta3",0.0153707721851127
"FPT",4,5,20000,100,23,"vcm","4",4,NA,"lm_forest","theta4",0.0154879183900146
"grad",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta1",0.0150475703072786
"grad",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta2",0.0121781125602538
"grad",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta3",0.0145641087312496
"grad",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta4",0.0193807801295611
"FPT",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta1",0.0150251224432812
"FPT",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta2",0.0126721851451219
"FPT",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta3",0.0140620388227199
"FPT",4,5,20000,100,24,"vcm","4",4,NA,"lm_forest","theta4",0.0186794040666129
"grad",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta1",0.0118372103446827
"grad",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta2",0.0120721952535305
"grad",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta3",0.0104131624490913
"grad",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta4",0.00866604278072659
"FPT",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta1",0.0120509840356353
"FPT",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta2",0.0124624704628432
"FPT",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta3",0.00993733003710782
"FPT",4,5,20000,100,25,"vcm","4",4,NA,"lm_forest","theta4",0.00927165988849158
"grad",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta1",0.0135925441841708
"grad",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta2",0.0119891238533987
"grad",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta3",0.0108958349137382
"grad",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta4",0.0117669039635699
"FPT",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta1",0.0136653636770336
"FPT",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta2",0.0116229705940984
"FPT",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta3",0.0105511138341618
"FPT",4,5,20000,100,26,"vcm","4",4,NA,"lm_forest","theta4",0.0118098462452291
"grad",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta1",0.0123500060609012
"grad",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta2",0.0117886487843856
"grad",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta3",0.0119300534219587
"grad",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta4",0.0141647667451909
"FPT",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta1",0.0124349062451078
"FPT",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta2",0.0113356603016946
"FPT",4,5,20000,100,27,"vcm","4",4,NA,"lm_forest","theta3",0.0118456607485187
