"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0306619439506903,10,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0209112499142066,10,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0253219270380214,8,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0192039120011032,8,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.023404740029946,6,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0188152359332889,6,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0208626410458237,4,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0171988098882139,4,3,5000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0424473320599645,10,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0363058689981699,10,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0382738379994407,8,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0264269210165367,8,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.034265905036591,6,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0300832110224292,6,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0282085470389575,4,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.023220821050927,4,3,6000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0234624659642577,10,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0223809670424089,10,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.026574622024782,8,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0247064970899373,8,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0192409879527986,6,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0213056231150404,6,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0194930101279169,4,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0176328190136701,4,3,5000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0310927480459213,10,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0249056940665469,10,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0556068700971082,8,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0273850760422647,8,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0472623229725286,6,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0218061360064894,6,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0417954929871485,4,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.021515098051168,4,3,6000,5,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.198372161015868,10,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0357079709647223,10,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0565833060536534,8,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0435637510381639,8,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0396742740413174,6,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0341235159430653,6,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0375937341013923,4,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0368945839582011,4,3,5000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.193629108951427,10,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0509131990838796,10,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0630216220160946,8,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0552053200080991,8,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0513487501302734,6,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0510496830102056,6,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.047839289996773,4,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0448201060062274,4,3,6000,10,"hte","3",2,1,"multi_arm_causal_forest"
