"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,5,20000,100,34,"hte","4",3,2,"multi_arm_causal_forest",0.0252182326868812
"FPT",4,5,20000,100,34,"hte","4",3,2,"multi_arm_causal_forest",0.0284386859312895
"grad",4,5,20000,100,35,"hte","4",3,2,"multi_arm_causal_forest",0.0378342004421073
"FPT",4,5,20000,100,35,"hte","4",3,2,"multi_arm_causal_forest",0.0397534873563445
"grad",4,5,20000,100,36,"hte","4",3,2,"multi_arm_causal_forest",0.0278863481128165
"FPT",4,5,20000,100,36,"hte","4",3,2,"multi_arm_causal_forest",0.0267303487180193
"grad",4,5,20000,100,37,"hte","4",3,2,"multi_arm_causal_forest",0.0189627864295434
"FPT",4,5,20000,100,37,"hte","4",3,2,"multi_arm_causal_forest",0.0201299953718824
"grad",4,5,20000,100,38,"hte","4",3,2,"multi_arm_causal_forest",0.0481836496788611
"FPT",4,5,20000,100,38,"hte","4",3,2,"multi_arm_causal_forest",0.0478161143997881
"grad",4,5,20000,100,39,"hte","4",3,2,"multi_arm_causal_forest",0.036543672604057
"FPT",4,5,20000,100,39,"hte","4",3,2,"multi_arm_causal_forest",0.0358926177179129
"grad",4,5,20000,100,40,"hte","4",3,2,"multi_arm_causal_forest",0.0215422031778545
"FPT",4,5,20000,100,40,"hte","4",3,2,"multi_arm_causal_forest",0.0238782295727019
"grad",4,5,20000,100,41,"hte","4",3,2,"multi_arm_causal_forest",0.0187656403789715
"FPT",4,5,20000,100,41,"hte","4",3,2,"multi_arm_causal_forest",0.0194917666757507
"grad",4,5,20000,100,42,"hte","4",3,2,"multi_arm_causal_forest",0.0330207352713432
"FPT",4,5,20000,100,42,"hte","4",3,2,"multi_arm_causal_forest",0.0315327985885672
"grad",4,5,20000,100,43,"hte","4",3,2,"multi_arm_causal_forest",0.0325318274415207
"FPT",4,5,20000,100,43,"hte","4",3,2,"multi_arm_causal_forest",0.0320097310369946
"grad",4,5,20000,100,44,"hte","4",3,2,"multi_arm_causal_forest",0.0376668840313256
"FPT",4,5,20000,100,44,"hte","4",3,2,"multi_arm_causal_forest",0.0367388901618091
"grad",4,5,20000,100,45,"hte","4",3,2,"multi_arm_causal_forest",0.0748664094377049
"FPT",4,5,20000,100,45,"hte","4",3,2,"multi_arm_causal_forest",0.0704603632719649
"grad",4,5,20000,100,46,"hte","4",3,2,"multi_arm_causal_forest",0.0257968463391034
"FPT",4,5,20000,100,46,"hte","4",3,2,"multi_arm_causal_forest",0.0253144766725409
"grad",4,5,20000,100,47,"hte","4",3,2,"multi_arm_causal_forest",0.0387397760645986
"FPT",4,5,20000,100,47,"hte","4",3,2,"multi_arm_causal_forest",0.0366069167788461
"grad",4,5,20000,100,48,"hte","4",3,2,"multi_arm_causal_forest",0.0757387776213695
"FPT",4,5,20000,100,48,"hte","4",3,2,"multi_arm_causal_forest",0.0641909141980374
"grad",4,5,20000,100,49,"hte","4",3,2,"multi_arm_causal_forest",0.0494630033338894
"FPT",4,5,20000,100,49,"hte","4",3,2,"multi_arm_causal_forest",0.0493320067829417
"grad",4,5,20000,100,50,"hte","4",3,2,"multi_arm_causal_forest",0.0428291156190145
"FPT",4,5,20000,100,50,"hte","4",3,2,"multi_arm_causal_forest",0.03886043775845
