"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0156595873366562
"grad",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0139856224810338
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0152307816959255
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.013925014886696
"FPT",4,5,20000,100,11,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0142217056073633
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00840961932591476
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00657164410758826
"grad",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00979867640393696
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00891467143702338
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00742564525749993
"FPT",4,5,20000,100,12,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.010245036052691
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0100210339617258
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00872053559360881
"grad",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0081682073297945
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0100831322016371
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00850177428328323
"FPT",4,5,20000,100,13,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00817836796047729
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00963641092635514
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0132809250632671
"grad",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00883931337661823
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0093044790044712
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.013500325522173
"FPT",4,5,20000,100,14,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00816422051448526
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0120345155716464
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00837227149700236
"grad",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0112549427723295
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0114809889002036
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00781993314391473
"FPT",4,5,20000,100,15,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0103829824049403
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109755534939008
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00871344681605739
"grad",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0210498829198006
"FPT",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109682496454271
"FPT",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00918630211918599
"FPT",4,5,20000,100,16,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.019804661395884
"grad",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0108762818179945
"grad",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00952766909297199
"grad",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0086757746499789
"FPT",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.011240453437274
"FPT",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00926818572368411
"FPT",4,5,20000,100,17,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00935216814287661
"grad",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0083012526078815
"grad",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0133162451153933
"grad",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0122035150481389
"FPT",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00864328055259917
"FPT",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0118539000758238
"FPT",4,5,20000,100,18,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0119552925816084
"grad",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00895616084197425
"grad",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00713694196918319
"grad",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0106974182504339
"FPT",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00900239616619349
"FPT",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00755113609024312
"FPT",4,5,20000,100,19,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00983041304999124
"grad",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0120203665834214
"grad",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00747431541467632
"grad",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0138107770856601
"FPT",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0118048520724095
"FPT",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00715356163372802
"FPT",4,5,20000,100,20,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0128905067462402
"grad",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0108804556171075
"grad",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0100853284365214
"grad",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0231811616613557
"FPT",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0109435748892248
"FPT",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0103368372464355
"FPT",4,5,20000,100,21,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0210646398206294
"grad",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0156001520888097
"grad",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0187681013599411
"grad",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0139367616936147
"FPT",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0128156838707775
"FPT",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0147836806511594
"FPT",4,5,20000,100,22,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0117535737319632
"grad",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0147357589249045
"grad",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0114826359719202
"grad",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0222420020292706
"FPT",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.0142293774951062
"FPT",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.0118451695577987
"FPT",4,5,20000,100,23,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.0206080704351002
"grad",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00871933144798753
"grad",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00840940068002054
"grad",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta4",0.00934698642129912
"FPT",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta2",0.00762040485966389
"FPT",4,5,20000,100,24,"hte","3",2,1,"multi_arm_causal_forest","theta3",0.00815048793966134
