"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0231877060141414,10,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0196980200707912,10,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0187117969617248,8,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0163154100300744,8,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0188787970691919,6,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0167719450546429,6,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0156002909643576,4,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0168965760385618,4,3,5000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0338121450040489,10,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.030330799985677,10,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.025749912019819,8,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0257113439729437,8,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0257586119696498,6,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0253144520102069,6,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0211432700743899,4,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.019325539120473,4,3,6000,1,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.020576338050887,10,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0165809990139678,10,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0198839179938659,8,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0181369560305029,8,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0201514250366017,6,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0168404249707237,6,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0165860011475161,4,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0155783789232373,4,3,5000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0548183039063588,10,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0267268599709496,10,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0244856431381777,8,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0276510070543736,8,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0259737210581079,6,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0273531259736046,6,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0206742050359026,4,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0216459190705791,4,3,6000,5,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0442161640385166,10,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0363192639779299,10,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0416031880304217,8,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0392682240344584,8,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0345825350377709,6,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0341221470152959,6,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0454373199027032,4,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0412583809811622,4,3,5000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0487268600845709,10,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0464899031212553,10,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0563570450758561,8,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0432693710317835,8,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.051174002001062,6,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0424932349706069,6,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"grad",0.0473033480811864,4,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
"fpt2",0.0443039609817788,4,3,6000,10,"hte","2",1,2,"multi_arm_causal_forest"
