"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","tree","nsplits"
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",71,1980
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",72,1951
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",73,1966
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",74,1989
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",75,2035
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",76,1994
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",77,1989
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",78,2000
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",79,1963
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",80,1985
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",81,2003
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",82,2027
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",83,2044
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",84,1981
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",85,2008
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",86,2006
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",87,1965
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",88,1983
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",89,2021
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",90,1990
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",91,1992
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",92,2016
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",93,2035
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",94,2019
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",95,1998
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",96,2019
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",97,2003
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",98,1983
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",99,2003
"grad",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",100,2004
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",1,1998
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",2,1982
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",3,1964
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",4,1973
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",5,1987
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",6,1992
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",7,1963
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",8,1965
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",9,1970
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",10,1967
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",11,1984
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",12,1953
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",13,1972
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",14,1989
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",15,2000
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",16,1977
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",17,1974
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",18,1942
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",19,1958
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",20,1982
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",21,1973
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",22,1966
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",23,1961
"FPT",4,5,20000,100,1,"vcm","2",2,NA,"lm_forest",24,2016
