"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0208724790718406,10,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0163217530352995,10,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0215461789630353,8,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0191757390275598,8,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0189201040193439,6,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0173957500373945,6,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0180161631433293,4,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0175441320752725,4,3,5000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0285862000891939,10,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.028173511964269,10,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.031783998128958,8,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0236276700161397,8,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0250387761043385,6,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0229521919973195,6,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0255659531103447,4,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0220087559428066,4,3,6000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0245671349111944,10,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0204379810020328,10,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0208086190978065,8,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0185390010010451,8,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0216693500988185,6,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0181198930367827,6,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0200464779045433,4,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0155284670181572,4,3,5000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0312284829560667,10,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0263375190552324,10,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0295291910879314,8,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0246299071004614,8,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0239575270097703,6,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0229619391029701,6,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0235380809754133,4,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.020294388057664,4,3,6000,5,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0443239019950852,10,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0411570040741935,10,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0421935820486397,8,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0349626550450921,8,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0479126010322943,6,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0316735330270603,6,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.035354478051886,4,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0301656509982422,4,3,5000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0643533850088716,10,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0482856819871813,10,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0488346861675382,8,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0523175849812105,8,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0456088309874758,6,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0436140290694311,6,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0490847990149632,4,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.049382186960429,4,3,6000,10,"hte","4",3,2,"multi_arm_causal_forest"
