"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.0339358249912038,10,3,5000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0253006550483406,10,3,5000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.029962315922603,8,3,5000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0221744481241331,8,3,5000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.0289002100471407,6,3,5000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.022107410011813,6,3,5000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.0242851690854877,4,3,5000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0205732460599393,4,3,5000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.0396897100144997,10,3,6000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0300483000464737,10,3,6000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.0388026140863076,8,3,6000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0327540000434965,8,3,6000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.035378698958084,6,3,6000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0262002350063995,6,3,6000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.0849350219359621,4,3,6000,1,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0271131361369044,4,3,6000,1,"vcm","4",4,NA,"lm_forest"
"grad",0.203931769938208,10,3,5000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0291618631454185,10,3,5000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0430373180424795,8,3,5000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0342612899839878,8,3,5000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.044533914886415,6,3,5000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0263930419459939,6,3,5000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0322249480523169,4,3,5000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0268792799906805,4,3,5000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0555941349593922,10,3,6000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0340562050696462,10,3,6000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0447465130127966,8,3,6000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0332999749807641,8,3,6000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.040605046087876,6,3,6000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0383936158614233,6,3,6000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0374241210520267,4,3,6000,5,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0351778689073399,4,3,6000,5,"vcm","4",4,NA,"lm_forest"
"grad",0.0827253999887034,10,3,5000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0599757190793753,10,3,5000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0772703811526299,8,3,5000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.053941199905239,8,3,5000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0796768279979005,6,3,5000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0505962459137663,6,3,5000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0623007630929351,4,3,5000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0648908079601824,4,3,5000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0926525199320167,10,3,6000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0721807950176299,10,3,6000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0883599501103163,8,3,6000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.0643368391320109,8,3,6000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.108283337089233,6,3,6000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.066784335882403,6,3,6000,10,"vcm","4",4,NA,"lm_forest"
"grad",0.0669547360157594,4,3,6000,10,"vcm","4",4,NA,"lm_forest"
"fpt2",0.059309686999768,4,3,6000,10,"vcm","4",4,NA,"lm_forest"
