"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.00527012709062546,TRUE,"vcm",4,2,4000,"1"
"grad",1,2,FALSE,0,0,0,1,0.00515091803390533,TRUE,"vcm",4,2,4000,"1"
"grad",1,3,FALSE,0,0,0,1,0.00497645500581712,TRUE,"vcm",4,2,4000,"1"
"grad",1,4,FALSE,0,0,0,1,0.0050792220281437,TRUE,"vcm",4,2,4000,"1"
"grad",1,5,FALSE,0,0,0,1,0.00516239809803665,TRUE,"vcm",4,2,4000,"1"
"grad",1,6,FALSE,0,0,0,1,0.00519358715973794,TRUE,"vcm",4,2,4000,"1"
"grad",1,7,FALSE,0,0,0,1,0.00515104609075934,TRUE,"vcm",4,2,4000,"1"
"grad",1,8,FALSE,0,0,0,1,0.00573875510599464,TRUE,"vcm",4,2,4000,"1"
"grad",1,9,FALSE,0,0,0,1,0.00536072405520827,TRUE,"vcm",4,2,4000,"1"
"grad",1,10,FALSE,0,0,0,1,0.00572408712469041,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,1,FALSE,0,0,0,1,0.00700611004140228,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,2,FALSE,0,0,0,1,0.00748648098669946,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,3,FALSE,0,0,0,1,0.00693458400201052,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,4,FALSE,0,0,0,1,0.00695707194972783,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,5,TRUE,1,0,0,1,0.0190442838938907,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,6,FALSE,0,0,0,1,0.00584224995691329,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,7,FALSE,0,0,0,1,0.00731449190061539,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,8,FALSE,0,0,0,1,0.00697681703604758,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,9,FALSE,0,0,0,1,0.00614037900231779,TRUE,"vcm",4,2,4000,"1"
"fpt1",1,10,FALSE,0,0,0,1,0.00595562998205423,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,1,FALSE,0,0,0,1,0.00705073995050043,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,2,FALSE,0,0,0,1,0.00698195199947804,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,3,FALSE,0,0,0,1,0.00707676797173917,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,4,FALSE,0,0,0,1,0.00662743602879345,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,5,FALSE,0,0,0,1,0.00665729201864451,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,6,FALSE,0,0,0,1,0.00703571306075901,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,7,FALSE,0,0,0,1,0.00662578199990094,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,8,FALSE,0,0,0,1,0.00665988400578499,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,9,FALSE,0,0,0,1,0.0069169340422377,TRUE,"vcm",4,2,4000,"1"
"fpt2",1,10,FALSE,0,0,0,1,0.00701950001530349,TRUE,"vcm",4,2,4000,"1"
