"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,776,0.0423277041409165,FALSE,"vcm",4,2,2000,"1"
"grad",1,2,FALSE,0,0,0,776,0.0419740750221536,FALSE,"vcm",4,2,2000,"1"
"grad",1,3,FALSE,0,0,0,776,0.0420515930745751,FALSE,"vcm",4,2,2000,"1"
"grad",1,4,FALSE,0,0,0,776,0.0420842270832509,FALSE,"vcm",4,2,2000,"1"
"grad",1,5,FALSE,0,0,0,776,0.0425730370916426,FALSE,"vcm",4,2,2000,"1"
"grad",1,6,FALSE,0,0,0,776,0.0426856270059943,FALSE,"vcm",4,2,2000,"1"
"grad",1,7,FALSE,0,0,0,776,0.0423836070112884,FALSE,"vcm",4,2,2000,"1"
"grad",1,8,FALSE,0,0,0,776,0.0425239140167832,FALSE,"vcm",4,2,2000,"1"
"grad",1,9,FALSE,0,0,0,776,0.0427449180278927,FALSE,"vcm",4,2,2000,"1"
"grad",1,10,FALSE,0,0,0,776,0.0423449670197442,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,1,FALSE,0,0,0,765,0.0395450941286981,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,2,FALSE,0,0,0,765,0.0390076820040122,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,3,FALSE,0,0,0,765,0.0392021200386807,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,4,FALSE,0,0,0,765,0.0394435210619122,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,5,FALSE,0,0,0,765,0.0396501531358808,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,6,FALSE,0,0,0,765,0.0395643610972911,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,7,FALSE,0,0,0,765,0.0397507260786369,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,8,FALSE,0,0,0,765,0.0395544820930809,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,9,FALSE,0,0,0,765,0.0396850190591067,FALSE,"vcm",4,2,2000,"1"
"fpt1",1,10,FALSE,0,0,0,765,0.039562413119711,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,1,FALSE,0,0,0,771,0.0350542269879952,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,2,FALSE,0,0,0,771,0.0346354329958558,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,3,FALSE,0,0,0,771,0.0348004519473761,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,4,FALSE,0,0,0,771,0.035040084971115,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,5,FALSE,0,0,0,771,0.035072483937256,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,6,FALSE,0,0,0,771,0.0352760669775307,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,7,FALSE,0,0,0,771,0.0351068399613723,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,8,FALSE,0,0,0,771,0.0351476388750598,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,9,FALSE,0,0,0,771,0.0351259580347687,FALSE,"vcm",4,2,2000,"1"
"fpt2",1,10,FALSE,0,0,0,771,0.0352673128945753,FALSE,"vcm",4,2,2000,"1"
