"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,75,0.0422933880472556,FALSE,"hte",16,2,2000,"2"
"grad",1,2,FALSE,0,0,0,75,0.0417279290268198,FALSE,"hte",16,2,2000,"2"
"grad",1,3,FALSE,0,0,0,75,0.041804624022916,FALSE,"hte",16,2,2000,"2"
"grad",1,4,FALSE,0,0,0,75,0.0421145500149578,FALSE,"hte",16,2,2000,"2"
"grad",1,5,FALSE,0,0,0,75,0.0632679359987378,FALSE,"hte",16,2,2000,"2"
"grad",1,6,FALSE,0,0,0,75,0.0546371929813176,FALSE,"hte",16,2,2000,"2"
"grad",1,7,FALSE,0,0,0,75,0.0419938520062715,FALSE,"hte",16,2,2000,"2"
"grad",1,8,FALSE,0,0,0,75,0.0420837969286367,FALSE,"hte",16,2,2000,"2"
"grad",1,9,FALSE,0,0,0,75,0.041793129988946,FALSE,"hte",16,2,2000,"2"
"grad",1,10,FALSE,0,0,0,75,0.0420938360039145,FALSE,"hte",16,2,2000,"2"
"fpt1",1,1,FALSE,0,0,0,62,0.0534978980431333,FALSE,"hte",16,2,2000,"2"
"fpt1",1,2,FALSE,0,0,0,62,0.0384058711351827,FALSE,"hte",16,2,2000,"2"
"fpt1",1,3,FALSE,0,0,0,62,0.0385792900342494,FALSE,"hte",16,2,2000,"2"
"fpt1",1,4,FALSE,0,0,0,62,0.0383710850728676,FALSE,"hte",16,2,2000,"2"
"fpt1",1,5,FALSE,0,0,0,62,0.0386434461688623,FALSE,"hte",16,2,2000,"2"
"fpt1",1,6,FALSE,0,0,0,62,0.0386301830876619,FALSE,"hte",16,2,2000,"2"
"fpt1",1,7,FALSE,0,0,0,62,0.0386019060388207,FALSE,"hte",16,2,2000,"2"
"fpt1",1,8,FALSE,0,0,0,62,0.0386156401364133,FALSE,"hte",16,2,2000,"2"
"fpt1",1,9,FALSE,0,0,0,62,0.0529543970478699,FALSE,"hte",16,2,2000,"2"
"fpt1",1,10,FALSE,0,0,0,62,0.03852447506506,FALSE,"hte",16,2,2000,"2"
"fpt2",1,1,FALSE,0,0,0,329,0.063158544129692,FALSE,"hte",16,2,2000,"2"
"fpt2",1,2,FALSE,0,0,0,329,0.0418430040590465,FALSE,"hte",16,2,2000,"2"
"fpt2",1,3,FALSE,0,0,0,329,0.0422597611322999,FALSE,"hte",16,2,2000,"2"
"fpt2",1,4,FALSE,0,0,0,329,0.0422748971031979,FALSE,"hte",16,2,2000,"2"
"fpt2",1,5,FALSE,0,0,0,329,0.0423238651128486,FALSE,"hte",16,2,2000,"2"
"fpt2",1,6,FALSE,0,0,0,329,0.0421887250849977,FALSE,"hte",16,2,2000,"2"
"fpt2",1,7,FALSE,0,0,0,329,0.0420805640751496,FALSE,"hte",16,2,2000,"2"
"fpt2",1,8,FALSE,0,0,0,329,0.063409160124138,FALSE,"hte",16,2,2000,"2"
"fpt2",1,9,FALSE,0,0,0,329,0.054306892096065,FALSE,"hte",16,2,2000,"2"
"fpt2",1,10,FALSE,0,0,0,329,0.0421984030399472,FALSE,"hte",16,2,2000,"2"
