"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","effect","dim_mse"
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta56",0.118461018665726
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta57",0.103210404217224
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta58",0.0348966989923089
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta59",0.0884549204558844
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta60",0.0811781499751425
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta61",0.0923286551870576
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta62",0.283588947942848
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta63",0.0570590125223819
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta64",0.302583875571566
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta65",0.14906704178609
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta66",0.144890386096286
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta67",0.110380578868483
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta68",0.147406524137385
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta69",0.128809190899924
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta70",0.14996851890873
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta71",0.128519740836727
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta72",0.070941944292635
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta73",0.0371589503076289
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta74",0.339976656689974
"grad",256,5,20000,100,1,"hte","5",4,3,"multi_arm_causal_forest","theta75",0.08140816811466
