"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",256,5,20000,100,34,"hte","1",1,1,"multi_arm_causal_forest",0.0662049391531356
"FPT",256,5,20000,100,34,"hte","1",1,1,"multi_arm_causal_forest",0.0545470258909222
"grad",256,5,20000,100,35,"hte","1",1,1,"multi_arm_causal_forest",0.0880829722795906
"FPT",256,5,20000,100,35,"hte","1",1,1,"multi_arm_causal_forest",0.0849660158887535
"grad",256,5,20000,100,36,"hte","1",1,1,"multi_arm_causal_forest",0.0821321207496913
"FPT",256,5,20000,100,36,"hte","1",1,1,"multi_arm_causal_forest",0.0706937807865714
"grad",256,5,20000,100,37,"hte","1",1,1,"multi_arm_causal_forest",0.0846016965500417
"FPT",256,5,20000,100,37,"hte","1",1,1,"multi_arm_causal_forest",0.0786381092593685
"grad",256,5,20000,100,38,"hte","1",1,1,"multi_arm_causal_forest",0.0846275984483406
"FPT",256,5,20000,100,38,"hte","1",1,1,"multi_arm_causal_forest",0.0710670079118058
"grad",256,5,20000,100,39,"hte","1",1,1,"multi_arm_causal_forest",0.0688556426605926
"FPT",256,5,20000,100,39,"hte","1",1,1,"multi_arm_causal_forest",0.0659309243429501
"grad",256,5,20000,100,40,"hte","1",1,1,"multi_arm_causal_forest",0.0686576324024372
"FPT",256,5,20000,100,40,"hte","1",1,1,"multi_arm_causal_forest",0.0598268156601556
