"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"grad",4,5,10000,100,1,"hte","5","4","3","multi_arm_causal_forest",0.0338192935673961
"fpt1",4,5,10000,100,1,"hte","5","4","3","multi_arm_causal_forest",0.0357669811815902
"fpt2",4,5,10000,100,1,"hte","5","4","3","multi_arm_causal_forest",0.0348653541922418
"grad",4,5,10000,100,2,"hte","5","4","3","multi_arm_causal_forest",0.0200470990169
"fpt1",4,5,10000,100,2,"hte","5","4","3","multi_arm_causal_forest",0.0193964089907457
"fpt2",4,5,10000,100,2,"hte","5","4","3","multi_arm_causal_forest",0.0190057087341085
"grad",4,5,10000,100,3,"hte","5","4","3","multi_arm_causal_forest",0.0868350820648784
"fpt1",4,5,10000,100,3,"hte","5","4","3","multi_arm_causal_forest",0.071655554471289
"fpt2",4,5,10000,100,3,"hte","5","4","3","multi_arm_causal_forest",0.0701458524490611
"grad",4,5,10000,100,4,"hte","5","4","3","multi_arm_causal_forest",0.0331421042696516
"fpt1",4,5,10000,100,4,"hte","5","4","3","multi_arm_causal_forest",0.0283967998344616
"fpt2",4,5,10000,100,4,"hte","5","4","3","multi_arm_causal_forest",0.0269357423349633
"grad",4,5,10000,100,5,"hte","5","4","3","multi_arm_causal_forest",0.041042969768291
"fpt1",4,5,10000,100,5,"hte","5","4","3","multi_arm_causal_forest",0.0443938154517408
"fpt2",4,5,10000,100,5,"hte","5","4","3","multi_arm_causal_forest",0.0468802176646178
"grad",4,5,10000,100,6,"hte","5","4","3","multi_arm_causal_forest",0.0293439337279076
"fpt1",4,5,10000,100,6,"hte","5","4","3","multi_arm_causal_forest",0.0260265018406481
"fpt2",4,5,10000,100,6,"hte","5","4","3","multi_arm_causal_forest",0.0263211654406486
"grad",4,5,10000,100,7,"hte","5","4","3","multi_arm_causal_forest",0.020368898841842
"fpt1",4,5,10000,100,7,"hte","5","4","3","multi_arm_causal_forest",0.0200782386935659
"fpt2",4,5,10000,100,7,"hte","5","4","3","multi_arm_causal_forest",0.0187687179921172
"grad",4,5,10000,100,8,"hte","5","4","3","multi_arm_causal_forest",0.0408732457973207
