"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.306446823989972,"hte",500,4,2,1000,"5"
"grad",1,2,FALSE,0,0,0,0.307549485005438,"hte",500,4,2,1000,"5"
"grad",1,3,FALSE,0,0,0,0.309087605099194,"hte",500,4,2,1000,"5"
"grad",1,4,FALSE,0,0,0,0.309281995985657,"hte",500,4,2,1000,"5"
"grad",1,5,FALSE,0,0,0,0.343792997067794,"hte",500,4,2,1000,"5"
"grad",1,6,FALSE,0,0,0,0.335369096952491,"hte",500,4,2,1000,"5"
"grad",1,7,FALSE,0,0,0,0.308353543048725,"hte",500,4,2,1000,"5"
"grad",1,8,FALSE,0,0,0,0.309402514947578,"hte",500,4,2,1000,"5"
"grad",1,9,TRUE,1,0,0,0.33341195108369,"hte",500,4,2,1000,"5"
"grad",1,10,FALSE,0,0,0,0.335805132053792,"hte",500,4,2,1000,"5"
"grad",1,11,FALSE,0,0,0,0.346438084030524,"hte",500,4,2,1000,"5"
"grad",1,12,FALSE,0,0,0,0.347255662083626,"hte",500,4,2,1000,"5"
"grad",1,13,FALSE,0,0,0,0.310535298078321,"hte",500,4,2,1000,"5"
"grad",1,14,FALSE,0,0,0,0.308927576057613,"hte",500,4,2,1000,"5"
"grad",1,15,FALSE,0,0,0,0.308192183030769,"hte",500,4,2,1000,"5"
"fpt1",1,1,TRUE,1,0,0,0.296988566988148,"hte",500,4,2,1000,"5"
"fpt1",1,2,FALSE,0,0,0,0.311692017014138,"hte",500,4,2,1000,"5"
"fpt1",1,3,FALSE,0,0,0,0.303073827060871,"hte",500,4,2,1000,"5"
"fpt1",1,4,FALSE,0,0,0,0.276046055951156,"hte",500,4,2,1000,"5"
"fpt1",1,5,FALSE,0,0,0,0.274852561065927,"hte",500,4,2,1000,"5"
"fpt1",1,6,FALSE,0,0,0,0.2742972971173,"hte",500,4,2,1000,"5"
"fpt1",1,7,FALSE,0,0,0,0.2748353399802,"hte",500,4,2,1000,"5"
"fpt1",1,8,FALSE,0,0,0,0.278385253972374,"hte",500,4,2,1000,"5"
"fpt1",1,9,FALSE,0,0,0,0.371154562919401,"hte",500,4,2,1000,"5"
"fpt1",1,10,FALSE,0,0,0,0.287190038128756,"hte",500,4,2,1000,"5"
"fpt1",1,11,TRUE,1,0,0,0.304010219988413,"hte",500,4,2,1000,"5"
"fpt1",1,12,FALSE,0,0,0,0.303609012044035,"hte",500,4,2,1000,"5"
"fpt1",1,13,FALSE,0,0,0,0.277721447055228,"hte",500,4,2,1000,"5"
"fpt1",1,14,FALSE,0,0,0,0.315683919005096,"hte",500,4,2,1000,"5"
"fpt1",1,15,FALSE,0,0,0,0.276815286022611,"hte",500,4,2,1000,"5"
"fpt2",1,1,FALSE,0,0,0,0.291613425943069,"hte",500,4,2,1000,"5"
"fpt2",1,2,FALSE,0,0,0,0.264956355909817,"hte",500,4,2,1000,"5"
"fpt2",1,3,FALSE,0,0,0,0.302208154927939,"hte",500,4,2,1000,"5"
"fpt2",1,4,FALSE,0,0,0,0.291919722920284,"hte",500,4,2,1000,"5"
"fpt2",1,5,FALSE,0,0,0,0.26381698390469,"hte",500,4,2,1000,"5"
"fpt2",1,6,FALSE,0,0,0,0.29180333786644,"hte",500,4,2,1000,"5"
"fpt2",1,7,FALSE,0,0,0,0.299604836967774,"hte",500,4,2,1000,"5"
"fpt2",1,8,TRUE,1,0,0,0.284708624938503,"hte",500,4,2,1000,"5"
"fpt2",1,9,FALSE,0,0,0,0.292381043895148,"hte",500,4,2,1000,"5"
"fpt2",1,10,FALSE,0,0,0,0.265046312939376,"hte",500,4,2,1000,"5"
"fpt2",1,11,FALSE,0,0,0,0.264778405893594,"hte",500,4,2,1000,"5"
"fpt2",1,12,FALSE,0,0,0,0.300734966876917,"hte",500,4,2,1000,"5"
"fpt2",1,13,FALSE,0,0,0,0.301104653859511,"hte",500,4,2,1000,"5"
"fpt2",1,14,FALSE,0,0,0,0.299296476878226,"hte",500,4,2,1000,"5"
"fpt2",1,15,TRUE,1,0,0,0.309503983939067,"hte",500,4,2,1000,"5"
