"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,3.84038308798335,"vcm",500,4,2,4000,"4"
"grad",1,2,FALSE,0,0,0,3.81425002904143,"vcm",500,4,2,4000,"4"
"grad",1,3,FALSE,0,0,0,3.85230984003283,"vcm",500,4,2,4000,"4"
"grad",1,4,TRUE,1,0,0,4.02703895105515,"vcm",500,4,2,4000,"4"
"grad",1,5,FALSE,0,0,0,3.82391062297393,"vcm",500,4,2,4000,"4"
"grad",1,6,FALSE,0,0,0,3.80713642993942,"vcm",500,4,2,4000,"4"
"grad",1,7,FALSE,0,0,0,3.83956375496928,"vcm",500,4,2,4000,"4"
"grad",1,8,TRUE,1,0,0,3.97550107305869,"vcm",500,4,2,4000,"4"
"grad",1,9,FALSE,0,0,0,3.83602908800822,"vcm",500,4,2,4000,"4"
"grad",1,10,FALSE,0,0,0,3.89268284803256,"vcm",500,4,2,4000,"4"
"grad",1,11,TRUE,1,0,0,3.96020635403693,"vcm",500,4,2,4000,"4"
"grad",1,12,FALSE,0,0,0,3.81863302900456,"vcm",500,4,2,4000,"4"
"grad",1,13,TRUE,1,0,0,3.86455551802646,"vcm",500,4,2,4000,"4"
"grad",1,14,TRUE,0,1,0,4.18372741295025,"vcm",500,4,2,4000,"4"
"grad",1,15,FALSE,0,0,0,3.76648149394896,"vcm",500,4,2,4000,"4"
"fpt1",1,1,TRUE,1,0,0,3.72185270604677,"vcm",500,4,2,4000,"4"
"fpt1",1,2,FALSE,0,0,0,3.53730135899968,"vcm",500,4,2,4000,"4"
"fpt1",1,3,TRUE,1,0,0,3.6259285940323,"vcm",500,4,2,4000,"4"
"fpt1",1,4,TRUE,0,1,0,3.89004812692292,"vcm",500,4,2,4000,"4"
"fpt1",1,5,FALSE,0,0,0,3.57279877597466,"vcm",500,4,2,4000,"4"
"fpt1",1,6,FALSE,0,0,0,3.56454128096811,"vcm",500,4,2,4000,"4"
"fpt1",1,7,TRUE,0,1,0,3.78435545496177,"vcm",500,4,2,4000,"4"
"fpt1",1,8,FALSE,0,0,0,3.59429518401157,"vcm",500,4,2,4000,"4"
"fpt1",1,9,FALSE,0,0,0,3.55403420294169,"vcm",500,4,2,4000,"4"
"fpt1",1,10,TRUE,1,0,0,3.71507024893072,"vcm",500,4,2,4000,"4"
"fpt1",1,11,FALSE,0,0,0,3.63875097001437,"vcm",500,4,2,4000,"4"
"fpt1",1,12,TRUE,1,0,0,3.66519870702177,"vcm",500,4,2,4000,"4"
"fpt1",1,13,TRUE,0,1,0,3.84001325001009,"vcm",500,4,2,4000,"4"
"fpt1",1,14,FALSE,0,0,0,3.55220309307333,"vcm",500,4,2,4000,"4"
"fpt1",1,15,FALSE,0,0,0,3.58265227102675,"vcm",500,4,2,4000,"4"
"fpt2",1,1,TRUE,1,0,0,3.1822021510452,"vcm",500,4,2,4000,"4"
"fpt2",1,2,TRUE,0,0,1,3.80160123610403,"vcm",500,4,2,4000,"4"
"fpt2",1,3,FALSE,0,0,0,3.07494516205043,"vcm",500,4,2,4000,"4"
"fpt2",1,4,FALSE,0,0,0,3.0868565159617,"vcm",500,4,2,4000,"4"
"fpt2",1,5,FALSE,0,0,0,3.08010332600679,"vcm",500,4,2,4000,"4"
"fpt2",1,6,TRUE,1,0,0,3.25586812605616,"vcm",500,4,2,4000,"4"
"fpt2",1,7,FALSE,0,0,0,3.05188324605115,"vcm",500,4,2,4000,"4"
"fpt2",1,8,FALSE,0,0,0,3.09692926402204,"vcm",500,4,2,4000,"4"
"fpt2",1,9,TRUE,1,0,0,3.19915886002127,"vcm",500,4,2,4000,"4"
"fpt2",1,10,FALSE,0,0,0,3.0717126239324,"vcm",500,4,2,4000,"4"
"fpt2",1,11,TRUE,0,1,0,3.39770134608261,"vcm",500,4,2,4000,"4"
"fpt2",1,12,FALSE,0,0,0,3.05449360806961,"vcm",500,4,2,4000,"4"
"fpt2",1,13,FALSE,0,0,0,3.11605060799047,"vcm",500,4,2,4000,"4"
"fpt2",1,14,TRUE,1,0,0,3.19706786796451,"vcm",500,4,2,4000,"4"
"fpt2",1,15,FALSE,0,0,0,3.07184789690655,"vcm",500,4,2,4000,"4"
