"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,378,"vcm",100,4,2,4000,"2"
1,"grad",2,366,"vcm",100,4,2,4000,"2"
1,"grad",3,351,"vcm",100,4,2,4000,"2"
1,"grad",4,368,"vcm",100,4,2,4000,"2"
1,"grad",5,370,"vcm",100,4,2,4000,"2"
1,"grad",6,359,"vcm",100,4,2,4000,"2"
1,"grad",7,360,"vcm",100,4,2,4000,"2"
1,"grad",8,373,"vcm",100,4,2,4000,"2"
1,"grad",9,383,"vcm",100,4,2,4000,"2"
1,"grad",10,374,"vcm",100,4,2,4000,"2"
1,"grad",11,366,"vcm",100,4,2,4000,"2"
1,"grad",12,380,"vcm",100,4,2,4000,"2"
1,"grad",13,385,"vcm",100,4,2,4000,"2"
1,"grad",14,363,"vcm",100,4,2,4000,"2"
1,"grad",15,372,"vcm",100,4,2,4000,"2"
1,"grad",16,371,"vcm",100,4,2,4000,"2"
1,"grad",17,348,"vcm",100,4,2,4000,"2"
1,"grad",18,382,"vcm",100,4,2,4000,"2"
1,"grad",19,373,"vcm",100,4,2,4000,"2"
1,"grad",20,377,"vcm",100,4,2,4000,"2"
1,"grad",21,374,"vcm",100,4,2,4000,"2"
1,"grad",22,375,"vcm",100,4,2,4000,"2"
1,"grad",23,373,"vcm",100,4,2,4000,"2"
1,"grad",24,363,"vcm",100,4,2,4000,"2"
1,"grad",25,357,"vcm",100,4,2,4000,"2"
1,"grad",26,355,"vcm",100,4,2,4000,"2"
1,"grad",27,360,"vcm",100,4,2,4000,"2"
1,"grad",28,352,"vcm",100,4,2,4000,"2"
1,"grad",29,378,"vcm",100,4,2,4000,"2"
1,"grad",30,373,"vcm",100,4,2,4000,"2"
1,"grad",31,368,"vcm",100,4,2,4000,"2"
1,"grad",32,378,"vcm",100,4,2,4000,"2"
1,"grad",33,367,"vcm",100,4,2,4000,"2"
1,"grad",34,376,"vcm",100,4,2,4000,"2"
1,"grad",35,365,"vcm",100,4,2,4000,"2"
1,"grad",36,352,"vcm",100,4,2,4000,"2"
1,"grad",37,371,"vcm",100,4,2,4000,"2"
1,"grad",38,366,"vcm",100,4,2,4000,"2"
1,"grad",39,374,"vcm",100,4,2,4000,"2"
1,"grad",40,364,"vcm",100,4,2,4000,"2"
1,"grad",41,373,"vcm",100,4,2,4000,"2"
1,"grad",42,355,"vcm",100,4,2,4000,"2"
1,"grad",43,379,"vcm",100,4,2,4000,"2"
1,"grad",44,360,"vcm",100,4,2,4000,"2"
1,"grad",45,374,"vcm",100,4,2,4000,"2"
