"rep","method","tree","splits","model_type","num.trees","K","p","n","setting_id"
1,"grad",1,373,"vcm",100,4,2,4000,"3"
1,"grad",2,371,"vcm",100,4,2,4000,"3"
1,"grad",3,371,"vcm",100,4,2,4000,"3"
1,"grad",4,369,"vcm",100,4,2,4000,"3"
1,"grad",5,371,"vcm",100,4,2,4000,"3"
1,"grad",6,353,"vcm",100,4,2,4000,"3"
1,"grad",7,364,"vcm",100,4,2,4000,"3"
1,"grad",8,373,"vcm",100,4,2,4000,"3"
1,"grad",9,375,"vcm",100,4,2,4000,"3"
1,"grad",10,367,"vcm",100,4,2,4000,"3"
1,"grad",11,378,"vcm",100,4,2,4000,"3"
1,"grad",12,359,"vcm",100,4,2,4000,"3"
1,"grad",13,365,"vcm",100,4,2,4000,"3"
1,"grad",14,369,"vcm",100,4,2,4000,"3"
1,"grad",15,364,"vcm",100,4,2,4000,"3"
1,"grad",16,371,"vcm",100,4,2,4000,"3"
1,"grad",17,351,"vcm",100,4,2,4000,"3"
1,"grad",18,382,"vcm",100,4,2,4000,"3"
1,"grad",19,361,"vcm",100,4,2,4000,"3"
1,"grad",20,368,"vcm",100,4,2,4000,"3"
1,"grad",21,367,"vcm",100,4,2,4000,"3"
1,"grad",22,378,"vcm",100,4,2,4000,"3"
1,"grad",23,378,"vcm",100,4,2,4000,"3"
1,"grad",24,376,"vcm",100,4,2,4000,"3"
1,"grad",25,355,"vcm",100,4,2,4000,"3"
1,"grad",26,369,"vcm",100,4,2,4000,"3"
1,"grad",27,363,"vcm",100,4,2,4000,"3"
1,"grad",28,368,"vcm",100,4,2,4000,"3"
1,"grad",29,365,"vcm",100,4,2,4000,"3"
1,"grad",30,377,"vcm",100,4,2,4000,"3"
1,"grad",31,375,"vcm",100,4,2,4000,"3"
1,"grad",32,381,"vcm",100,4,2,4000,"3"
1,"grad",33,365,"vcm",100,4,2,4000,"3"
1,"grad",34,377,"vcm",100,4,2,4000,"3"
1,"grad",35,363,"vcm",100,4,2,4000,"3"
1,"grad",36,367,"vcm",100,4,2,4000,"3"
1,"grad",37,365,"vcm",100,4,2,4000,"3"
1,"grad",38,358,"vcm",100,4,2,4000,"3"
1,"grad",39,358,"vcm",100,4,2,4000,"3"
1,"grad",40,371,"vcm",100,4,2,4000,"3"
1,"grad",41,367,"vcm",100,4,2,4000,"3"
1,"grad",42,374,"vcm",100,4,2,4000,"3"
1,"grad",43,365,"vcm",100,4,2,4000,"3"
1,"grad",44,366,"vcm",100,4,2,4000,"3"
1,"grad",45,354,"vcm",100,4,2,4000,"3"
1,"grad",46,367,"vcm",100,4,2,4000,"3"
1,"grad",47,378,"vcm",100,4,2,4000,"3"
1,"grad",48,372,"vcm",100,4,2,4000,"3"
1,"grad",49,364,"vcm",100,4,2,4000,"3"
1,"grad",50,370,"vcm",100,4,2,4000,"3"
1,"grad",51,375,"vcm",100,4,2,4000,"3"
1,"grad",52,382,"vcm",100,4,2,4000,"3"
1,"grad",53,371,"vcm",100,4,2,4000,"3"
1,"grad",54,362,"vcm",100,4,2,4000,"3"
1,"grad",55,356,"vcm",100,4,2,4000,"3"
1,"grad",56,355,"vcm",100,4,2,4000,"3"
1,"grad",57,383,"vcm",100,4,2,4000,"3"
1,"grad",58,370,"vcm",100,4,2,4000,"3"
1,"grad",59,375,"vcm",100,4,2,4000,"3"
1,"grad",60,376,"vcm",100,4,2,4000,"3"
1,"grad",61,372,"vcm",100,4,2,4000,"3"
1,"grad",62,374,"vcm",100,4,2,4000,"3"
1,"grad",63,355,"vcm",100,4,2,4000,"3"
1,"grad",64,379,"vcm",100,4,2,4000,"3"
1,"grad",65,383,"vcm",100,4,2,4000,"3"
1,"grad",66,372,"vcm",100,4,2,4000,"3"
1,"grad",67,366,"vcm",100,4,2,4000,"3"
1,"grad",68,364,"vcm",100,4,2,4000,"3"
1,"grad",69,360,"vcm",100,4,2,4000,"3"
1,"grad",70,358,"vcm",100,4,2,4000,"3"
1,"grad",71,351,"vcm",100,4,2,4000,"3"
1,"grad",72,352,"vcm",100,4,2,4000,"3"
1,"grad",73,370,"vcm",100,4,2,4000,"3"
1,"grad",74,371,"vcm",100,4,2,4000,"3"
1,"grad",75,378,"vcm",100,4,2,4000,"3"
1,"grad",76,371,"vcm",100,4,2,4000,"3"
1,"grad",77,369,"vcm",100,4,2,4000,"3"
1,"grad",78,369,"vcm",100,4,2,4000,"3"
1,"grad",79,383,"vcm",100,4,2,4000,"3"
1,"grad",80,372,"vcm",100,4,2,4000,"3"
1,"grad",81,379,"vcm",100,4,2,4000,"3"
1,"grad",82,367,"vcm",100,4,2,4000,"3"
1,"grad",83,365,"vcm",100,4,2,4000,"3"
1,"grad",84,375,"vcm",100,4,2,4000,"3"
1,"grad",85,378,"vcm",100,4,2,4000,"3"
1,"grad",86,353,"vcm",100,4,2,4000,"3"
1,"grad",87,373,"vcm",100,4,2,4000,"3"
1,"grad",88,376,"vcm",100,4,2,4000,"3"
1,"grad",89,367,"vcm",100,4,2,4000,"3"
1,"grad",90,379,"vcm",100,4,2,4000,"3"
1,"grad",91,366,"vcm",100,4,2,4000,"3"
1,"grad",92,386,"vcm",100,4,2,4000,"3"
1,"grad",93,369,"vcm",100,4,2,4000,"3"
1,"grad",94,373,"vcm",100,4,2,4000,"3"
1,"grad",95,375,"vcm",100,4,2,4000,"3"
1,"grad",96,377,"vcm",100,4,2,4000,"3"
1,"grad",97,365,"vcm",100,4,2,4000,"3"
1,"grad",98,370,"vcm",100,4,2,4000,"3"
1,"grad",99,371,"vcm",100,4,2,4000,"3"
1,"grad",100,375,"vcm",100,4,2,4000,"3"
1,"fpt1",1,389,"vcm",100,4,2,4000,"3"
1,"fpt1",2,378,"vcm",100,4,2,4000,"3"
1,"fpt1",3,377,"vcm",100,4,2,4000,"3"
1,"fpt1",4,368,"vcm",100,4,2,4000,"3"
1,"fpt1",5,383,"vcm",100,4,2,4000,"3"
1,"fpt1",6,363,"vcm",100,4,2,4000,"3"
1,"fpt1",7,368,"vcm",100,4,2,4000,"3"
1,"fpt1",8,376,"vcm",100,4,2,4000,"3"
1,"fpt1",9,383,"vcm",100,4,2,4000,"3"
1,"fpt1",10,390,"vcm",100,4,2,4000,"3"
1,"fpt1",11,400,"vcm",100,4,2,4000,"3"
1,"fpt1",12,370,"vcm",100,4,2,4000,"3"
1,"fpt1",13,375,"vcm",100,4,2,4000,"3"
1,"fpt1",14,371,"vcm",100,4,2,4000,"3"
1,"fpt1",15,375,"vcm",100,4,2,4000,"3"
1,"fpt1",16,375,"vcm",100,4,2,4000,"3"
1,"fpt1",17,385,"vcm",100,4,2,4000,"3"
1,"fpt1",18,371,"vcm",100,4,2,4000,"3"
1,"fpt1",19,378,"vcm",100,4,2,4000,"3"
1,"fpt1",20,365,"vcm",100,4,2,4000,"3"
1,"fpt1",21,363,"vcm",100,4,2,4000,"3"
1,"fpt1",22,383,"vcm",100,4,2,4000,"3"
1,"fpt1",23,377,"vcm",100,4,2,4000,"3"
1,"fpt1",24,371,"vcm",100,4,2,4000,"3"
1,"fpt1",25,368,"vcm",100,4,2,4000,"3"
1,"fpt1",26,386,"vcm",100,4,2,4000,"3"
1,"fpt1",27,375,"vcm",100,4,2,4000,"3"
1,"fpt1",28,371,"vcm",100,4,2,4000,"3"
1,"fpt1",29,373,"vcm",100,4,2,4000,"3"
1,"fpt1",30,368,"vcm",100,4,2,4000,"3"
1,"fpt1",31,370,"vcm",100,4,2,4000,"3"
1,"fpt1",32,393,"vcm",100,4,2,4000,"3"
1,"fpt1",33,374,"vcm",100,4,2,4000,"3"
1,"fpt1",34,373,"vcm",100,4,2,4000,"3"
1,"fpt1",35,360,"vcm",100,4,2,4000,"3"
1,"fpt1",36,362,"vcm",100,4,2,4000,"3"
1,"fpt1",37,381,"vcm",100,4,2,4000,"3"
1,"fpt1",38,387,"vcm",100,4,2,4000,"3"
1,"fpt1",39,368,"vcm",100,4,2,4000,"3"
1,"fpt1",40,381,"vcm",100,4,2,4000,"3"
1,"fpt1",41,375,"vcm",100,4,2,4000,"3"
1,"fpt1",42,379,"vcm",100,4,2,4000,"3"
1,"fpt1",43,386,"vcm",100,4,2,4000,"3"
1,"fpt1",44,383,"vcm",100,4,2,4000,"3"
1,"fpt1",45,361,"vcm",100,4,2,4000,"3"
1,"fpt1",46,371,"vcm",100,4,2,4000,"3"
1,"fpt1",47,364,"vcm",100,4,2,4000,"3"
1,"fpt1",48,384,"vcm",100,4,2,4000,"3"
1,"fpt1",49,380,"vcm",100,4,2,4000,"3"
1,"fpt1",50,374,"vcm",100,4,2,4000,"3"
1,"fpt1",51,375,"vcm",100,4,2,4000,"3"
1,"fpt1",52,376,"vcm",100,4,2,4000,"3"
1,"fpt1",53,375,"vcm",100,4,2,4000,"3"
1,"fpt1",54,372,"vcm",100,4,2,4000,"3"
1,"fpt1",55,379,"vcm",100,4,2,4000,"3"
1,"fpt1",56,366,"vcm",100,4,2,4000,"3"
1,"fpt1",57,376,"vcm",100,4,2,4000,"3"
1,"fpt1",58,363,"vcm",100,4,2,4000,"3"
1,"fpt1",59,378,"vcm",100,4,2,4000,"3"
1,"fpt1",60,386,"vcm",100,4,2,4000,"3"
1,"fpt1",61,371,"vcm",100,4,2,4000,"3"
1,"fpt1",62,370,"vcm",100,4,2,4000,"3"
1,"fpt1",63,365,"vcm",100,4,2,4000,"3"
1,"fpt1",64,376,"vcm",100,4,2,4000,"3"
1,"fpt1",65,380,"vcm",100,4,2,4000,"3"
1,"fpt1",66,386,"vcm",100,4,2,4000,"3"
1,"fpt1",67,363,"vcm",100,4,2,4000,"3"
1,"fpt1",68,376,"vcm",100,4,2,4000,"3"
1,"fpt1",69,361,"vcm",100,4,2,4000,"3"
1,"fpt1",70,371,"vcm",100,4,2,4000,"3"
1,"fpt1",71,373,"vcm",100,4,2,4000,"3"
1,"fpt1",72,372,"vcm",100,4,2,4000,"3"
1,"fpt1",73,368,"vcm",100,4,2,4000,"3"
1,"fpt1",74,364,"vcm",100,4,2,4000,"3"
1,"fpt1",75,365,"vcm",100,4,2,4000,"3"
1,"fpt1",76,363,"vcm",100,4,2,4000,"3"
1,"fpt1",77,383,"vcm",100,4,2,4000,"3"
1,"fpt1",78,377,"vcm",100,4,2,4000,"3"
1,"fpt1",79,380,"vcm",100,4,2,4000,"3"
1,"fpt1",80,372,"vcm",100,4,2,4000,"3"
1,"fpt1",81,371,"vcm",100,4,2,4000,"3"
1,"fpt1",82,355,"vcm",100,4,2,4000,"3"
1,"fpt1",83,377,"vcm",100,4,2,4000,"3"
1,"fpt1",84,355,"vcm",100,4,2,4000,"3"
1,"fpt1",85,377,"vcm",100,4,2,4000,"3"
1,"fpt1",86,381,"vcm",100,4,2,4000,"3"
1,"fpt1",87,380,"vcm",100,4,2,4000,"3"
1,"fpt1",88,377,"vcm",100,4,2,4000,"3"
1,"fpt1",89,375,"vcm",100,4,2,4000,"3"
1,"fpt1",90,382,"vcm",100,4,2,4000,"3"
1,"fpt1",91,376,"vcm",100,4,2,4000,"3"
1,"fpt1",92,381,"vcm",100,4,2,4000,"3"
1,"fpt1",93,374,"vcm",100,4,2,4000,"3"
1,"fpt1",94,359,"vcm",100,4,2,4000,"3"
1,"fpt1",95,375,"vcm",100,4,2,4000,"3"
1,"fpt1",96,382,"vcm",100,4,2,4000,"3"
1,"fpt1",97,379,"vcm",100,4,2,4000,"3"
1,"fpt1",98,368,"vcm",100,4,2,4000,"3"
1,"fpt1",99,380,"vcm",100,4,2,4000,"3"
1,"fpt1",100,385,"vcm",100,4,2,4000,"3"
1,"fpt2",1,366,"vcm",100,4,2,4000,"3"
1,"fpt2",2,375,"vcm",100,4,2,4000,"3"
1,"fpt2",3,362,"vcm",100,4,2,4000,"3"
1,"fpt2",4,350,"vcm",100,4,2,4000,"3"
1,"fpt2",5,363,"vcm",100,4,2,4000,"3"
1,"fpt2",6,378,"vcm",100,4,2,4000,"3"
1,"fpt2",7,364,"vcm",100,4,2,4000,"3"
1,"fpt2",8,371,"vcm",100,4,2,4000,"3"
1,"fpt2",9,372,"vcm",100,4,2,4000,"3"
1,"fpt2",10,372,"vcm",100,4,2,4000,"3"
1,"fpt2",11,359,"vcm",100,4,2,4000,"3"
1,"fpt2",12,354,"vcm",100,4,2,4000,"3"
1,"fpt2",13,364,"vcm",100,4,2,4000,"3"
1,"fpt2",14,375,"vcm",100,4,2,4000,"3"
1,"fpt2",15,363,"vcm",100,4,2,4000,"3"
1,"fpt2",16,358,"vcm",100,4,2,4000,"3"
1,"fpt2",17,361,"vcm",100,4,2,4000,"3"
1,"fpt2",18,378,"vcm",100,4,2,4000,"3"
1,"fpt2",19,355,"vcm",100,4,2,4000,"3"
1,"fpt2",20,367,"vcm",100,4,2,4000,"3"
1,"fpt2",21,358,"vcm",100,4,2,4000,"3"
1,"fpt2",22,353,"vcm",100,4,2,4000,"3"
1,"fpt2",23,369,"vcm",100,4,2,4000,"3"
1,"fpt2",24,360,"vcm",100,4,2,4000,"3"
1,"fpt2",25,349,"vcm",100,4,2,4000,"3"
1,"fpt2",26,370,"vcm",100,4,2,4000,"3"
1,"fpt2",27,370,"vcm",100,4,2,4000,"3"
1,"fpt2",28,366,"vcm",100,4,2,4000,"3"
1,"fpt2",29,356,"vcm",100,4,2,4000,"3"
1,"fpt2",30,364,"vcm",100,4,2,4000,"3"
1,"fpt2",31,355,"vcm",100,4,2,4000,"3"
1,"fpt2",32,354,"vcm",100,4,2,4000,"3"
1,"fpt2",33,351,"vcm",100,4,2,4000,"3"
1,"fpt2",34,371,"vcm",100,4,2,4000,"3"
1,"fpt2",35,364,"vcm",100,4,2,4000,"3"
1,"fpt2",36,359,"vcm",100,4,2,4000,"3"
1,"fpt2",37,355,"vcm",100,4,2,4000,"3"
1,"fpt2",38,373,"vcm",100,4,2,4000,"3"
1,"fpt2",39,367,"vcm",100,4,2,4000,"3"
1,"fpt2",40,362,"vcm",100,4,2,4000,"3"
1,"fpt2",41,360,"vcm",100,4,2,4000,"3"
1,"fpt2",42,365,"vcm",100,4,2,4000,"3"
1,"fpt2",43,349,"vcm",100,4,2,4000,"3"
1,"fpt2",44,371,"vcm",100,4,2,4000,"3"
1,"fpt2",45,364,"vcm",100,4,2,4000,"3"
1,"fpt2",46,366,"vcm",100,4,2,4000,"3"
1,"fpt2",47,371,"vcm",100,4,2,4000,"3"
1,"fpt2",48,350,"vcm",100,4,2,4000,"3"
1,"fpt2",49,372,"vcm",100,4,2,4000,"3"
1,"fpt2",50,373,"vcm",100,4,2,4000,"3"
1,"fpt2",51,369,"vcm",100,4,2,4000,"3"
1,"fpt2",52,377,"vcm",100,4,2,4000,"3"
1,"fpt2",53,353,"vcm",100,4,2,4000,"3"
1,"fpt2",54,360,"vcm",100,4,2,4000,"3"
1,"fpt2",55,365,"vcm",100,4,2,4000,"3"
1,"fpt2",56,353,"vcm",100,4,2,4000,"3"
1,"fpt2",57,372,"vcm",100,4,2,4000,"3"
1,"fpt2",58,363,"vcm",100,4,2,4000,"3"
1,"fpt2",59,368,"vcm",100,4,2,4000,"3"
1,"fpt2",60,366,"vcm",100,4,2,4000,"3"
1,"fpt2",61,361,"vcm",100,4,2,4000,"3"
1,"fpt2",62,359,"vcm",100,4,2,4000,"3"
1,"fpt2",63,382,"vcm",100,4,2,4000,"3"
1,"fpt2",64,356,"vcm",100,4,2,4000,"3"
1,"fpt2",65,352,"vcm",100,4,2,4000,"3"
1,"fpt2",66,359,"vcm",100,4,2,4000,"3"
1,"fpt2",67,371,"vcm",100,4,2,4000,"3"
1,"fpt2",68,366,"vcm",100,4,2,4000,"3"
1,"fpt2",69,353,"vcm",100,4,2,4000,"3"
1,"fpt2",70,373,"vcm",100,4,2,4000,"3"
1,"fpt2",71,362,"vcm",100,4,2,4000,"3"
