"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1.95087209506892,"vcm",250,4,2,4000,"1"
"grad",1,2,FALSE,0,0,0,1.95149818900973,"vcm",250,4,2,4000,"1"
"grad",1,3,FALSE,0,0,0,1.95020408811979,"vcm",250,4,2,4000,"1"
"grad",1,4,FALSE,0,0,0,1.9479200131027,"vcm",250,4,2,4000,"1"
"grad",1,5,FALSE,0,0,0,1.96722618502099,"vcm",250,4,2,4000,"1"
"grad",1,6,FALSE,0,0,0,1.95111281506252,"vcm",250,4,2,4000,"1"
"grad",1,7,FALSE,0,0,0,1.95901955501176,"vcm",250,4,2,4000,"1"
"grad",1,8,FALSE,0,0,0,1.95497751911171,"vcm",250,4,2,4000,"1"
"grad",1,9,FALSE,0,0,0,1.95128920197021,"vcm",250,4,2,4000,"1"
"grad",1,10,FALSE,0,0,0,1.9615906070685,"vcm",250,4,2,4000,"1"
"grad",1,11,TRUE,1,0,0,2.21791454905178,"vcm",250,4,2,4000,"1"
"grad",1,12,FALSE,0,0,0,1.9518104440067,"vcm",250,4,2,4000,"1"
"grad",1,13,FALSE,0,0,0,1.95159830397461,"vcm",250,4,2,4000,"1"
"grad",1,14,FALSE,0,0,0,1.95123059907928,"vcm",250,4,2,4000,"1"
"grad",1,15,FALSE,0,0,0,1.96443348506,"vcm",250,4,2,4000,"1"
"fpt1",1,1,FALSE,0,0,0,1.80929404799826,"vcm",250,4,2,4000,"1"
"fpt1",1,2,FALSE,0,0,0,1.82037804299034,"vcm",250,4,2,4000,"1"
"fpt1",1,3,FALSE,0,0,0,1.81707890203688,"vcm",250,4,2,4000,"1"
"fpt1",1,4,FALSE,0,0,0,1.80476750805974,"vcm",250,4,2,4000,"1"
"fpt1",1,5,TRUE,1,0,0,2.01798063702881,"vcm",250,4,2,4000,"1"
"fpt1",1,6,FALSE,0,0,0,1.81577257311437,"vcm",250,4,2,4000,"1"
"fpt1",1,7,FALSE,0,0,0,1.81021646305453,"vcm",250,4,2,4000,"1"
"fpt1",1,8,FALSE,0,0,0,1.80714264500421,"vcm",250,4,2,4000,"1"
"fpt1",1,9,FALSE,0,0,0,1.81250616908073,"vcm",250,4,2,4000,"1"
"fpt1",1,10,FALSE,0,0,0,1.80824842990842,"vcm",250,4,2,4000,"1"
"fpt1",1,11,FALSE,0,0,0,1.81635012396146,"vcm",250,4,2,4000,"1"
"fpt1",1,12,FALSE,0,0,0,1.8017313570017,"vcm",250,4,2,4000,"1"
"fpt1",1,13,FALSE,0,0,0,1.80604221997783,"vcm",250,4,2,4000,"1"
"fpt1",1,14,TRUE,1,0,0,2.02739735797513,"vcm",250,4,2,4000,"1"
"fpt1",1,15,FALSE,0,0,0,1.81156701501459,"vcm",250,4,2,4000,"1"
"fpt2",1,1,FALSE,0,0,0,1.58049156307243,"vcm",250,4,2,4000,"1"
"fpt2",1,2,FALSE,0,0,0,1.57629431807436,"vcm",250,4,2,4000,"1"
"fpt2",1,3,FALSE,0,0,0,1.56128019897733,"vcm",250,4,2,4000,"1"
"fpt2",1,4,FALSE,0,0,0,1.58075370406732,"vcm",250,4,2,4000,"1"
"fpt2",1,5,FALSE,0,0,0,1.5986632979475,"vcm",250,4,2,4000,"1"
"fpt2",1,6,TRUE,1,0,0,1.76224630197976,"vcm",250,4,2,4000,"1"
"fpt2",1,7,FALSE,0,0,0,1.57074228895362,"vcm",250,4,2,4000,"1"
"fpt2",1,8,FALSE,0,0,0,1.57276678504422,"vcm",250,4,2,4000,"1"
"fpt2",1,9,FALSE,0,0,0,1.58338503201958,"vcm",250,4,2,4000,"1"
"fpt2",1,10,FALSE,0,0,0,1.56568497908302,"vcm",250,4,2,4000,"1"
"fpt2",1,11,FALSE,0,0,0,1.57810447900556,"vcm",250,4,2,4000,"1"
"fpt2",1,12,TRUE,1,0,0,1.71544092195109,"vcm",250,4,2,4000,"1"
"fpt2",1,13,FALSE,0,0,0,1.5858944230713,"vcm",250,4,2,4000,"1"
"fpt2",1,14,FALSE,0,0,0,1.58048521005549,"vcm",250,4,2,4000,"1"
"fpt2",1,15,FALSE,0,0,0,1.57729450706393,"vcm",250,4,2,4000,"1"
