"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.876054688123986,"hte",500,4,2,2000,"5"
"grad",1,2,FALSE,0,0,0,0.850047117099166,"hte",500,4,2,2000,"5"
"grad",1,3,FALSE,0,0,0,0.850332043017261,"hte",500,4,2,2000,"5"
"grad",1,4,FALSE,0,0,0,0.852634647046216,"hte",500,4,2,2000,"5"
"grad",1,5,TRUE,1,0,0,0.88276933808811,"hte",500,4,2,2000,"5"
"grad",1,6,FALSE,0,0,0,0.88817772816401,"hte",500,4,2,2000,"5"
"grad",1,7,FALSE,0,0,0,0.865809733048081,"hte",500,4,2,2000,"5"
"grad",1,8,FALSE,0,0,0,0.904201308148913,"hte",500,4,2,2000,"5"
"grad",1,9,FALSE,0,0,0,0.896021274151281,"hte",500,4,2,2000,"5"
"grad",1,10,FALSE,0,0,0,0.886597765143961,"hte",500,4,2,2000,"5"
"grad",1,11,FALSE,0,0,0,0.883641791180708,"hte",500,4,2,2000,"5"
"grad",1,12,FALSE,0,0,0,0.886039401171729,"hte",500,4,2,2000,"5"
"grad",1,13,TRUE,1,0,0,0.954619655036367,"hte",500,4,2,2000,"5"
"grad",1,14,FALSE,0,0,0,0.888591448077932,"hte",500,4,2,2000,"5"
"grad",1,15,FALSE,0,0,0,0.903404247015715,"hte",500,4,2,2000,"5"
"fpt1",1,1,FALSE,0,0,0,0.789083398063667,"hte",500,4,2,2000,"5"
"fpt1",1,2,FALSE,0,0,0,0.761455913074315,"hte",500,4,2,2000,"5"
"fpt1",1,3,FALSE,0,0,0,0.75840325304307,"hte",500,4,2,2000,"5"
"fpt1",1,4,FALSE,0,0,0,0.754902004031464,"hte",500,4,2,2000,"5"
"fpt1",1,5,FALSE,0,0,0,0.788291754201055,"hte",500,4,2,2000,"5"
"fpt1",1,6,TRUE,1,0,0,0.820996828144416,"hte",500,4,2,2000,"5"
"fpt1",1,7,FALSE,0,0,0,0.762445249129087,"hte",500,4,2,2000,"5"
"fpt1",1,8,FALSE,0,0,0,0.797052069101483,"hte",500,4,2,2000,"5"
"fpt1",1,9,FALSE,0,0,0,0.798338154098019,"hte",500,4,2,2000,"5"
"fpt1",1,10,FALSE,0,0,0,0.795890138135292,"hte",500,4,2,2000,"5"
"fpt1",1,11,TRUE,1,0,0,0.827209408162162,"hte",500,4,2,2000,"5"
"fpt1",1,12,FALSE,0,0,0,0.78770266007632,"hte",500,4,2,2000,"5"
"fpt1",1,13,FALSE,0,0,0,0.759232018142939,"hte",500,4,2,2000,"5"
"fpt1",1,14,FALSE,0,0,0,0.759477848070674,"hte",500,4,2,2000,"5"
"fpt1",1,15,TRUE,1,0,0,0.780127241159789,"hte",500,4,2,2000,"5"
"fpt2",1,1,FALSE,0,0,0,0.731372755020857,"hte",500,4,2,2000,"5"
"fpt2",1,2,FALSE,0,0,0,0.738403253024444,"hte",500,4,2,2000,"5"
"fpt2",1,3,FALSE,0,0,0,0.739409670000896,"hte",500,4,2,2000,"5"
"fpt2",1,4,FALSE,0,0,0,0.698744053952396,"hte",500,4,2,2000,"5"
"fpt2",1,5,FALSE,0,0,0,0.697341535007581,"hte",500,4,2,2000,"5"
"fpt2",1,6,FALSE,0,0,0,0.694841698976234,"hte",500,4,2,2000,"5"
"fpt2",1,7,TRUE,1,0,0,0.730584573000669,"hte",500,4,2,2000,"5"
"fpt2",1,8,FALSE,0,0,0,0.729044162086211,"hte",500,4,2,2000,"5"
"fpt2",1,9,FALSE,0,0,0,0.702089203055948,"hte",500,4,2,2000,"5"
"fpt2",1,10,FALSE,0,0,0,0.698943163035437,"hte",500,4,2,2000,"5"
"fpt2",1,11,FALSE,0,0,0,0.699994469061494,"hte",500,4,2,2000,"5"
"fpt2",1,12,FALSE,0,0,0,0.698455962003209,"hte",500,4,2,2000,"5"
"fpt2",1,13,TRUE,1,0,0,0.725281795952469,"hte",500,4,2,2000,"5"
"fpt2",1,14,FALSE,0,0,0,0.724044257076457,"hte",500,4,2,2000,"5"
"fpt2",1,15,FALSE,0,0,0,0.697659626952372,"hte",500,4,2,2000,"5"
