"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",3.32125625910703,256,5,10000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",1.71887462912127,256,5,10000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.387162342085503,64,5,10000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.238271069014445,64,5,10000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.147911548032425,16,5,10000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.125285075977445,16,5,10000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.0997851830907166,4,5,10000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.093889829935506,4,5,10000,1,"vcm","1",1,NA,"lm_forest"
"grad",7.13629323907662,256,5,20000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",3.55755959101953,256,5,20000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.922183503163978,64,5,20000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.670124356052838,64,5,20000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.288475437089801,16,5,20000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.240193470031954,16,5,20000,1,"vcm","1",1,NA,"lm_forest"
"grad",0.378918957081623,4,5,20000,1,"vcm","1",1,NA,"lm_forest"
"fpt2",0.183120175031945,4,5,20000,1,"vcm","1",1,NA,"lm_forest"
"grad",31.208029189962,256,5,10000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",12.6361195569625,256,5,10000,50,"vcm","1",1,NA,"lm_forest"
"grad",3.8031338150613,64,5,10000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",2.32610996707808,64,5,10000,50,"vcm","1",1,NA,"lm_forest"
"grad",1.31692077009939,16,5,10000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",1.06418288603891,16,5,10000,50,"vcm","1",1,NA,"lm_forest"
"grad",1.01489669305738,4,5,10000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",0.912936384906061,4,5,10000,50,"vcm","1",1,NA,"lm_forest"
"grad",77.6053102541482,256,5,20000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",39.0863828229485,256,5,20000,50,"vcm","1",1,NA,"lm_forest"
"grad",16.5086630360456,64,5,20000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",6.93406976806,64,5,20000,50,"vcm","1",1,NA,"lm_forest"
"grad",3.15565665799659,16,5,20000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",2.59085640311241,16,5,20000,50,"vcm","1",1,NA,"lm_forest"
"grad",2.28654617897701,4,5,20000,50,"vcm","1",1,NA,"lm_forest"
"fpt2",2.04489910404664,4,5,20000,50,"vcm","1",1,NA,"lm_forest"
"grad",71.2846919760341,256,5,10000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",22.9935072601074,256,5,10000,100,"vcm","1",1,NA,"lm_forest"
"grad",7.57794975093566,64,5,10000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",4.60364598210435,64,5,10000,100,"vcm","1",1,NA,"lm_forest"
"grad",2.99065266805701,16,5,10000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",2.17232293693814,16,5,10000,100,"vcm","1",1,NA,"lm_forest"
"grad",2.03150127991103,4,5,10000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",1.84775661805179,4,5,10000,100,"vcm","1",1,NA,"lm_forest"
"grad",154.49129259598,256,5,20000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",82.226770612062,256,5,20000,100,"vcm","1",1,NA,"lm_forest"
"grad",19.9467676910572,64,5,20000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",14.095522884978,64,5,20000,100,"vcm","1",1,NA,"lm_forest"
"grad",8.21658169198781,16,5,20000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",5.2069976531202,16,5,20000,100,"vcm","1",1,NA,"lm_forest"
"grad",4.59936870110687,4,5,20000,100,"vcm","1",1,NA,"lm_forest"
"fpt2",4.81696054211352,4,5,20000,100,"vcm","1",1,NA,"lm_forest"
