"K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN","grad","fpt2","fpt2_FACTOR"
256,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest",1.22002174402587,1.10161515406799,1.10748453261617
64,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest",0.317427007015795,0.221368674072437,1.43392920586372
16,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest",0.118913485086523,0.09374943387229,1.26841816718075
4,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest",0.0711391830118373,0.0669003300135955,1.06336071880931
256,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest",3.59078180301003,2.87722066510469,1.2480036191035
64,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest",1.02234441717155,0.789098364068195,1.29558552358524
16,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest",0.292614909005351,0.261818111059256,1.11762669061166
4,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest",0.184675511904061,0.168731936020777,1.09449056449706
256,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest",8.60496260307264,6.7999742658576,1.26544046589673
64,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest",2.23192283301614,1.76438197412062,1.26498845814186
16,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest",0.984992453129962,0.891433377983049,1.10495352480361
4,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest",0.710402960889041,0.675282591138966,1.05200840390516
256,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest",28.9887876539724,25.0935372171225,1.15522922906986
64,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest",7.85377231810708,6.67254239902832,1.17702846208228
16,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest",2.89167247200385,2.53009082004428,1.14291251882936
4,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest",1.66848885314539,1.56328248197678,1.06729837529784
256,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest",16.574526635115,13.659624057007,1.21339551996036
64,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest",4.46151820418891,3.78829020203557,1.17771289057834
16,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest",2.18416705692653,1.87854365992825,1.16269166563312
4,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest",1.42356201191433,1.33155525010079,1.06909721681212
256,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest",57.0381328610238,47.2426788561279,1.20734332264956
64,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest",16.1796255579684,13.5794798961142,1.19147608610535
16,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest",5.64221780805383,5.15578454593197,1.09434708874824
4,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest",3.76289569411892,3.62800165615045,1.03718136063687
