"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",162.73045646993,256,5,10000,1000,"hte","5",4,3,"multi_arm_causal_forest"
"fpt2",135.897464103997,256,5,10000,1000,"hte","5",4,3,"multi_arm_causal_forest"
