"method","K","p","n","nt","rep","model_type","setting_id","effect_type","prob_type","FUN","avg_mse"
"FPT",256,5,20000,100,32,"vcm","4",4,NA,"lm_forest",0.0311095138136517
"grad",256,5,20000,100,33,"vcm","4",4,NA,"lm_forest",0.0369726455210092
"FPT",256,5,20000,100,33,"vcm","4",4,NA,"lm_forest",0.0368669598531616
"grad",256,5,20000,100,34,"vcm","4",4,NA,"lm_forest",0.0310081058312426
"FPT",256,5,20000,100,34,"vcm","4",4,NA,"lm_forest",0.0302785704185078
"grad",256,5,20000,100,35,"vcm","4",4,NA,"lm_forest",0.0525210998370114
"FPT",256,5,20000,100,35,"vcm","4",4,NA,"lm_forest",0.055239857359691
"grad",256,5,20000,100,36,"vcm","4",4,NA,"lm_forest",0.0264564404394922
"FPT",256,5,20000,100,36,"vcm","4",4,NA,"lm_forest",0.0260201501538029
"grad",256,5,20000,100,37,"vcm","4",4,NA,"lm_forest",0.0352749828520065
"FPT",256,5,20000,100,37,"vcm","4",4,NA,"lm_forest",0.0346253093354087
"grad",256,5,20000,100,38,"vcm","4",4,NA,"lm_forest",0.0336818936703668
"FPT",256,5,20000,100,38,"vcm","4",4,NA,"lm_forest",0.0338888541726177
"grad",256,5,20000,100,39,"vcm","4",4,NA,"lm_forest",0.0221418358978641
"FPT",256,5,20000,100,39,"vcm","4",4,NA,"lm_forest",0.0215259618383972
"grad",256,5,20000,100,40,"vcm","4",4,NA,"lm_forest",0.0269966657546073
"FPT",256,5,20000,100,40,"vcm","4",4,NA,"lm_forest",0.0264312612868941
