"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",1.22002174402587,256,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",1.10161515406799,256,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.317427007015795,64,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.221368674072437,64,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.118913485086523,16,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.09374943387229,16,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.0711391830118373,4,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.0669003300135955,4,5,10000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",3.59078180301003,256,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",2.87722066510469,256,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",1.02234441717155,64,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.789098364068195,64,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.292614909005351,16,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.261818111059256,16,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.184675511904061,4,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.168731936020777,4,5,20000,1,"hte","3",2,1,"multi_arm_causal_forest"
"grad",8.60496260307264,256,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",6.7999742658576,256,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",2.23192283301614,64,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",1.76438197412062,64,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.984992453129962,16,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.891433377983049,16,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",0.710402960889041,4,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",0.675282591138966,4,5,10000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",28.9887876539724,256,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",25.0935372171225,256,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",7.85377231810708,64,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",6.67254239902832,64,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",2.89167247200385,16,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",2.53009082004428,16,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",1.66848885314539,4,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",1.56328248197678,4,5,20000,50,"hte","3",2,1,"multi_arm_causal_forest"
"grad",16.574526635115,256,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",13.659624057007,256,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",4.46151820418891,64,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",3.78829020203557,64,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",2.18416705692653,16,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",1.87854365992825,16,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",1.42356201191433,4,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",1.33155525010079,4,5,10000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",57.0381328610238,256,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",47.2426788561279,256,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",16.1796255579684,64,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",13.5794798961142,64,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",5.64221780805383,16,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",5.15578454593197,16,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"grad",3.76289569411892,4,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
"fpt2",3.62800165615045,4,5,20000,100,"hte","3",2,1,"multi_arm_causal_forest"
