"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",0.51031224289909,256,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.35522505606059,256,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.244252086034976,64,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.188330953125842,64,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.103897784953006,16,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0873360249679536,16,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.0656165521359071,4,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.0628570450935513,4,5,10000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",2.4813594770385,256,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",2.22281488508452,256,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.795691411942244,64,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.709858738002367,64,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.275262828101404,16,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.243234339985065,16,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.16887408203911,4,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.147978640045039,4,5,20000,1,"hte","4",3,2,"multi_arm_causal_forest"
"grad",8.36346812802367,256,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",6.90913108712994,256,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",1.80686776502989,64,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",1.63228373008315,64,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.900100599974394,16,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.801618894911371,16,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",0.682874821126461,4,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",0.657566348090768,4,5,10000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",18.0147817760007,256,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",15.0550663670292,256,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",6.99903369508684,64,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",6.1289478011895,64,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",2.535326421028,16,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",2.30137100501452,16,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",1.66529642103706,4,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",1.56803837011103,4,5,20000,50,"hte","4",3,2,"multi_arm_causal_forest"
"grad",16.8175498951459,256,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",13.8666507480666,256,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",3.46303298813291,64,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",3.10112428106368,64,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",1.78349629999138,16,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",1.59697142604273,16,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",1.46169157000259,4,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",1.30081156198867,4,5,10000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",35.6290564171504,256,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",30.2676197369583,256,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",14.2446242091246,64,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",12.7777962349355,64,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",4.81424357404467,16,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",4.34644860692788,16,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"grad",3.71022567606997,4,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
"fpt2",3.45167406799737,4,5,20000,100,"hte","4",3,2,"multi_arm_causal_forest"
