"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.0490683671087027,TRUE,"vcm",16,5,20000,"3"
"grad",1,2,FALSE,0,0,0,1,0.0462914620293304,TRUE,"vcm",16,5,20000,"3"
"grad",1,3,FALSE,0,0,0,1,0.0468627500813454,TRUE,"vcm",16,5,20000,"3"
"fpt1",1,1,FALSE,0,0,0,1,0.0435236810008064,TRUE,"vcm",16,5,20000,"3"
"fpt1",1,2,FALSE,0,0,0,1,0.0407775171333924,TRUE,"vcm",16,5,20000,"3"
"fpt1",1,3,FALSE,0,0,0,1,0.0702617891365662,TRUE,"vcm",16,5,20000,"3"
"fpt2",1,1,FALSE,0,0,0,1,0.0436820851173252,TRUE,"vcm",16,5,20000,"3"
"fpt2",1,2,FALSE,0,0,0,1,0.0395326799480245,TRUE,"vcm",16,5,20000,"3"
"fpt2",1,3,FALSE,0,0,0,1,0.0380631459411234,TRUE,"vcm",16,5,20000,"3"
