"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.177795201074332,TRUE,"hte",4,5,100000,"4"
"grad",1,2,FALSE,0,0,0,1,0.177389950957149,TRUE,"hte",4,5,100000,"4"
"grad",1,3,FALSE,0,0,0,1,0.209183081053197,TRUE,"hte",4,5,100000,"4"
"fpt1",1,1,FALSE,0,0,0,1,0.174582096980885,TRUE,"hte",4,5,100000,"4"
"fpt1",1,2,FALSE,0,0,0,1,0.173599817091599,TRUE,"hte",4,5,100000,"4"
"fpt1",1,3,FALSE,0,0,0,1,0.174756640102714,TRUE,"hte",4,5,100000,"4"
"fpt2",1,1,FALSE,0,0,0,1,0.200048444094136,TRUE,"hte",4,5,100000,"4"
"fpt2",1,2,FALSE,0,0,0,1,0.168244672007859,TRUE,"hte",4,5,100000,"4"
"fpt2",1,3,FALSE,0,0,0,1,0.169082790031098,TRUE,"hte",4,5,100000,"4"
