"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,TRUE,0,1,2,4437,483.457373104058,FALSE,"vcm",256,5,100000,"4"
"grad",1,2,TRUE,0,0,2,4437,472.153289773036,FALSE,"vcm",256,5,100000,"4"
"grad",1,3,TRUE,0,0,3,4437,491.694326845114,FALSE,"vcm",256,5,100000,"4"
"fpt1",1,1,TRUE,0,1,2,5117,278.038888679119,FALSE,"vcm",256,5,100000,"4"
"fpt1",1,2,TRUE,0,0,2,5117,260.533180900034,FALSE,"vcm",256,5,100000,"4"
"fpt1",1,3,TRUE,0,0,2,5117,268.56744315906,FALSE,"vcm",256,5,100000,"4"
"fpt2",1,1,TRUE,1,0,2,3878,155.118759855977,FALSE,"vcm",256,5,100000,"4"
"fpt2",1,2,TRUE,0,0,2,3878,177.120134678087,FALSE,"vcm",256,5,100000,"4"
"fpt2",1,3,TRUE,0,0,3,3878,170.620403104112,FALSE,"vcm",256,5,100000,"4"
