"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,798,80.1310708581004,FALSE,"vcm",256,5,20000,"3"
"grad",1,2,TRUE,1,0,0,798,79.7621938660741,FALSE,"vcm",256,5,20000,"3"
"grad",1,3,FALSE,0,0,0,798,80.1854833420366,FALSE,"vcm",256,5,20000,"3"
"fpt1",1,1,FALSE,0,0,0,1130,49.8846997910878,FALSE,"vcm",256,5,20000,"3"
"fpt1",1,2,TRUE,1,0,0,1130,50.4197910131188,FALSE,"vcm",256,5,20000,"3"
"fpt1",1,3,TRUE,0,1,0,1130,50.5989248700207,FALSE,"vcm",256,5,20000,"3"
"fpt2",1,1,TRUE,1,0,0,774,28.8113633131143,FALSE,"vcm",256,5,20000,"3"
"fpt2",1,2,FALSE,0,0,0,774,28.853054476087,FALSE,"vcm",256,5,20000,"3"
"fpt2",1,3,FALSE,0,0,0,774,29.0935979380738,FALSE,"vcm",256,5,20000,"3"
