"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,8430,0.424446304095909,FALSE,"vcm",4,5,20000,"4"
"grad",1,2,FALSE,0,0,0,8430,0.427814560011029,FALSE,"vcm",4,5,20000,"4"
"grad",1,3,FALSE,0,0,0,8430,0.392726639052853,FALSE,"vcm",4,5,20000,"4"
"fpt1",1,1,FALSE,0,0,0,8829,0.410722145112231,FALSE,"vcm",4,5,20000,"4"
"fpt1",1,2,FALSE,0,0,0,8829,0.377708198968321,FALSE,"vcm",4,5,20000,"4"
"fpt1",1,3,FALSE,0,0,0,8829,0.37797655002214,FALSE,"vcm",4,5,20000,"4"
"fpt2",1,1,TRUE,0,1,0,8264,0.434587233001366,FALSE,"vcm",4,5,20000,"4"
"fpt2",1,2,FALSE,0,0,0,8264,0.372976295067929,FALSE,"vcm",4,5,20000,"4"
"fpt2",1,3,FALSE,0,0,0,8264,0.348373456043191,FALSE,"vcm",4,5,20000,"4"
