"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.22195678204298,TRUE,"vcm",4,5,100000,"4"
"grad",1,2,FALSE,0,0,0,1,0.232082619098946,TRUE,"vcm",4,5,100000,"4"
"grad",1,3,FALSE,0,0,0,1,0.202891662134789,TRUE,"vcm",4,5,100000,"4"
"fpt1",1,1,FALSE,0,0,0,1,0.223867060965858,TRUE,"vcm",4,5,100000,"4"
"fpt1",1,2,FALSE,0,0,0,1,0.194662103895098,TRUE,"vcm",4,5,100000,"4"
"fpt1",1,3,FALSE,0,0,0,1,0.194837751914747,TRUE,"vcm",4,5,100000,"4"
"fpt2",1,1,FALSE,0,0,0,1,0.204906662111171,TRUE,"vcm",4,5,100000,"4"
"fpt2",1,2,FALSE,0,0,0,1,0.18963376514148,TRUE,"vcm",4,5,100000,"4"
"fpt2",1,3,FALSE,0,0,0,1,0.189807767979801,TRUE,"vcm",4,5,100000,"4"
