"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.165359506034292,TRUE,"hte",4,5,100000,"3"
"grad",1,2,FALSE,0,0,0,1,0.164869542000815,TRUE,"hte",4,5,100000,"3"
"grad",1,3,FALSE,0,0,0,1,0.165199976065196,TRUE,"hte",4,5,100000,"3"
"fpt1",1,1,FALSE,0,0,0,1,0.164183492073789,TRUE,"hte",4,5,100000,"3"
"fpt1",1,2,FALSE,0,0,0,1,0.162490282091312,TRUE,"hte",4,5,100000,"3"
"fpt1",1,3,FALSE,0,0,0,1,0.187607067055069,TRUE,"hte",4,5,100000,"3"
"fpt2",1,1,FALSE,0,0,0,1,0.158463714062236,TRUE,"hte",4,5,100000,"3"
"fpt2",1,2,FALSE,0,0,0,1,0.159089314052835,TRUE,"hte",4,5,100000,"3"
"fpt2",1,3,FALSE,0,0,0,1,0.159510367084295,TRUE,"hte",4,5,100000,"3"
