"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,4.78753351303749,TRUE,"hte",64,5,200000,"5"
"grad",1,2,FALSE,0,0,0,1,4.75139269605279,TRUE,"hte",64,5,200000,"5"
"grad",1,3,FALSE,0,0,0,1,4.98331961408257,TRUE,"hte",64,5,200000,"5"
"fpt1",1,1,FALSE,0,0,0,1,4.01537600206211,TRUE,"hte",64,5,200000,"5"
"fpt1",1,2,FALSE,0,0,0,1,3.92266222916078,TRUE,"hte",64,5,200000,"5"
"fpt1",1,3,FALSE,0,0,0,1,3.93548775301315,TRUE,"hte",64,5,200000,"5"
"fpt2",1,1,FALSE,0,0,0,1,3.53160092106555,TRUE,"hte",64,5,200000,"5"
"fpt2",1,2,FALSE,0,0,0,1,3.76983102306258,TRUE,"hte",64,5,200000,"5"
"fpt2",1,3,FALSE,0,0,0,1,3.75888533005491,TRUE,"hte",64,5,200000,"5"
