"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,3.04790879413486,TRUE,"hte",256,5,20000,"1"
"grad",1,2,FALSE,0,0,0,1,3.04323543806095,TRUE,"hte",256,5,20000,"1"
"grad",1,3,FALSE,0,0,0,1,3.02724890201353,TRUE,"hte",256,5,20000,"1"
"fpt1",1,1,FALSE,0,0,0,1,2.09278505109251,TRUE,"hte",256,5,20000,"1"
"fpt1",1,2,FALSE,0,0,0,1,2.08326333900914,TRUE,"hte",256,5,20000,"1"
"fpt1",1,3,FALSE,0,0,0,1,2.10792843997478,TRUE,"hte",256,5,20000,"1"
"fpt2",1,1,FALSE,0,0,0,1,1.60163614805788,TRUE,"hte",256,5,20000,"1"
"fpt2",1,2,FALSE,0,0,0,1,1.6254063519882,TRUE,"hte",256,5,20000,"1"
"fpt2",1,3,FALSE,0,0,0,1,1.62951238208916,TRUE,"hte",256,5,20000,"1"
