"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,TRUE,1,0,0,84086,7.37988438294269,FALSE,"vcm",4,5,200000,"4"
"grad",1,2,FALSE,0,0,0,84086,6.80484265298583,FALSE,"vcm",4,5,200000,"4"
"grad",1,3,FALSE,0,0,0,84086,7.16913928592112,FALSE,"vcm",4,5,200000,"4"
"fpt1",1,1,FALSE,0,0,0,86763,6.21493312111124,FALSE,"vcm",4,5,200000,"4"
"fpt1",1,2,FALSE,0,0,0,86763,6.2175358440727,FALSE,"vcm",4,5,200000,"4"
"fpt1",1,3,TRUE,1,0,0,86763,6.25411581504159,FALSE,"vcm",4,5,200000,"4"
"fpt2",1,1,FALSE,0,0,0,83323,5.77052068803459,FALSE,"vcm",4,5,200000,"4"
"fpt2",1,2,TRUE,1,0,0,83323,5.78217729309108,FALSE,"vcm",4,5,200000,"4"
"fpt2",1,3,FALSE,0,0,0,83323,5.74446863913909,FALSE,"vcm",4,5,200000,"4"
