"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,0.392909691901878,TRUE,"hte",64,5,20000,"2"
"grad",1,2,FALSE,0,0,0,1,0.354666846920736,TRUE,"hte",64,5,20000,"2"
"grad",1,3,FALSE,0,0,0,1,0.351968792965636,TRUE,"hte",64,5,20000,"2"
"fpt1",1,1,FALSE,0,0,0,1,0.288854512153193,TRUE,"hte",64,5,20000,"2"
"fpt1",1,2,FALSE,0,0,0,1,0.293184249079786,TRUE,"hte",64,5,20000,"2"
"fpt1",1,3,FALSE,0,0,0,1,0.258511852007359,TRUE,"hte",64,5,20000,"2"
"fpt2",1,1,FALSE,0,0,0,1,0.258706127060577,TRUE,"hte",64,5,20000,"2"
"fpt2",1,2,FALSE,0,0,0,1,0.257057568058372,TRUE,"hte",64,5,20000,"2"
"fpt2",1,3,FALSE,0,0,0,1,0.225714802043512,TRUE,"hte",64,5,20000,"2"
