"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,TRUE,0,0,2,8284,1012.27467785205,FALSE,"vcm",256,5,200000,"3"
"grad",1,2,TRUE,0,0,2,8284,960.189011950046,FALSE,"vcm",256,5,200000,"3"
"grad",1,3,TRUE,0,0,3,8284,957.560682398151,FALSE,"vcm",256,5,200000,"3"
"fpt1",1,1,TRUE,0,0,2,10700,596.96347833809,FALSE,"vcm",256,5,200000,"3"
"fpt1",1,2,TRUE,0,0,3,10700,585.009998363093,FALSE,"vcm",256,5,200000,"3"
"fpt1",1,3,TRUE,0,0,2,10700,581.215283186059,FALSE,"vcm",256,5,200000,"3"
"fpt2",1,1,TRUE,0,1,2,7784,401.74805522908,FALSE,"vcm",256,5,200000,"3"
"fpt2",1,2,TRUE,0,0,2,7784,403.006061418098,FALSE,"vcm",256,5,200000,"3"
"fpt2",1,3,TRUE,0,0,2,7784,395.104779390036,FALSE,"vcm",256,5,200000,"3"
