"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,1.02057633397635,TRUE,"hte",16,5,200000,"4"
"grad",1,2,FALSE,0,0,0,1,1.01912373793311,TRUE,"hte",16,5,200000,"4"
"grad",1,3,FALSE,0,0,0,1,1.01819635892753,TRUE,"hte",16,5,200000,"4"
"fpt1",1,1,FALSE,0,0,0,1,0.960577382007614,TRUE,"hte",16,5,200000,"4"
"fpt1",1,2,FALSE,0,0,0,1,0.978172716102563,TRUE,"hte",16,5,200000,"4"
"fpt1",1,3,FALSE,0,0,0,1,0.944296498084441,TRUE,"hte",16,5,200000,"4"
"fpt2",1,1,FALSE,0,0,0,1,0.885280225076713,TRUE,"hte",16,5,200000,"4"
"fpt2",1,2,FALSE,0,0,0,1,0.88234277209267,TRUE,"hte",16,5,200000,"4"
"fpt2",1,3,FALSE,0,0,0,1,0.911974394111894,TRUE,"hte",16,5,200000,"4"
