"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,458,39.4199404579122,FALSE,"vcm",256,5,10000,"2"
"grad",1,2,FALSE,0,0,0,458,39.4957111919066,FALSE,"vcm",256,5,10000,"2"
"grad",1,3,FALSE,0,0,0,458,39.5566440219991,FALSE,"vcm",256,5,10000,"2"
"fpt1",1,1,FALSE,0,0,0,557,21.7046978970757,FALSE,"vcm",256,5,10000,"2"
"fpt1",1,2,FALSE,0,0,0,557,21.8418916841038,FALSE,"vcm",256,5,10000,"2"
"fpt1",1,3,FALSE,0,0,0,557,21.8251078650355,FALSE,"vcm",256,5,10000,"2"
"fpt2",1,1,FALSE,0,0,0,414,11.7388537790393,FALSE,"vcm",256,5,10000,"2"
"fpt2",1,2,FALSE,0,0,0,414,11.4535157890059,FALSE,"vcm",256,5,10000,"2"
"fpt2",1,3,FALSE,0,0,0,414,11.5176017920021,FALSE,"vcm",256,5,10000,"2"
