"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,35,11.3635816071182,FALSE,"hte",256,5,10000,"3"
"grad",1,2,FALSE,0,0,0,35,11.3784333689837,FALSE,"hte",256,5,10000,"3"
"grad",1,3,FALSE,0,0,0,35,11.324124553008,FALSE,"hte",256,5,10000,"3"
"fpt1",1,1,FALSE,0,0,0,44,8.90743440401275,FALSE,"hte",256,5,10000,"3"
"fpt1",1,2,FALSE,0,0,0,44,8.55589170695748,FALSE,"hte",256,5,10000,"3"
"fpt1",1,3,FALSE,0,0,0,44,8.55787716200575,FALSE,"hte",256,5,10000,"3"
"fpt2",1,1,FALSE,0,0,0,333,12.8329612750094,FALSE,"hte",256,5,10000,"3"
"fpt2",1,2,TRUE,1,0,0,333,12.8857495971024,FALSE,"hte",256,5,10000,"3"
"fpt2",1,3,TRUE,0,1,0,333,12.9297950371401,FALSE,"hte",256,5,10000,"3"
