"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,2.44171261007432,TRUE,"vcm",64,5,100000,"2"
"grad",1,2,FALSE,0,0,0,1,2.45213697000872,TRUE,"vcm",64,5,100000,"2"
"grad",1,3,FALSE,0,0,0,1,2.4247095430037,TRUE,"vcm",64,5,100000,"2"
"fpt1",1,1,FALSE,0,0,0,1,2.02266709005926,TRUE,"vcm",64,5,100000,"2"
"fpt1",1,2,FALSE,0,0,0,1,2.01545648998581,TRUE,"vcm",64,5,100000,"2"
"fpt1",1,3,FALSE,0,0,0,1,2.04561950801872,TRUE,"vcm",64,5,100000,"2"
"fpt2",1,1,FALSE,0,0,0,1,1.84582051611505,TRUE,"vcm",64,5,100000,"2"
"fpt2",1,2,FALSE,0,0,0,1,1.87059419706929,TRUE,"vcm",64,5,100000,"2"
"fpt2",1,3,FALSE,0,0,0,1,1.86863357503898,TRUE,"vcm",64,5,100000,"2"
