"method","rep","iter","gc","gc0","gc1","gc2","splits","time","stump","model_type","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1,1.06845737795811,TRUE,"vcm",16,5,200000,"3"
"grad",1,2,FALSE,0,0,0,1,1.0994983499404,TRUE,"vcm",16,5,200000,"3"
"grad",1,3,FALSE,0,0,0,1,1.09141925699078,TRUE,"vcm",16,5,200000,"3"
"fpt1",1,1,FALSE,0,0,0,1,1.00824177102186,TRUE,"vcm",16,5,200000,"3"
"fpt1",1,2,FALSE,0,0,0,1,1.00296559208073,TRUE,"vcm",16,5,200000,"3"
"fpt1",1,3,FALSE,0,0,0,1,1.01372733409517,TRUE,"vcm",16,5,200000,"3"
"fpt2",1,1,FALSE,0,0,0,1,0.924089324078523,TRUE,"vcm",16,5,200000,"3"
"fpt2",1,2,FALSE,0,0,0,1,0.966453958069906,TRUE,"vcm",16,5,200000,"3"
"fpt2",1,3,FALSE,0,0,0,1,0.961820899043232,TRUE,"vcm",16,5,200000,"3"
