"method","median","K","p","n","nt","model_type","setting_id","effect_type","prob_type","FUN"
"grad",601.943415937945,256,5,10000,1000,"vcm","3",3,NA,"lm_forest"
"fpt2",263.349786314182,256,5,10000,1000,"vcm","3",3,NA,"lm_forest"
