"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1.53165399399586,"hte",250,16,2,4000,"4"
"grad",1,2,FALSE,0,0,0,1.50018032698426,"hte",250,16,2,4000,"4"
"grad",1,3,FALSE,0,0,0,1.50223834707867,"hte",250,16,2,4000,"4"
"grad",1,4,FALSE,0,0,0,1.49946335202549,"hte",250,16,2,4000,"4"
"grad",1,5,FALSE,0,0,0,1.52659302204847,"hte",250,16,2,4000,"4"
"grad",1,6,FALSE,0,0,0,1.5238802669337,"hte",250,16,2,4000,"4"
"grad",1,7,TRUE,1,0,0,1.5489579399582,"hte",250,16,2,4000,"4"
"grad",1,8,FALSE,0,0,0,1.49525899102446,"hte",250,16,2,4000,"4"
"grad",1,9,FALSE,0,0,0,1.53308779199142,"hte",250,16,2,4000,"4"
"grad",1,10,FALSE,0,0,0,1.49783570994623,"hte",250,16,2,4000,"4"
"fpt1",1,1,FALSE,0,0,0,1.34826504217926,"hte",250,16,2,4000,"4"
"fpt1",1,2,FALSE,0,0,0,1.36099713318981,"hte",250,16,2,4000,"4"
"fpt1",1,3,FALSE,0,0,0,1.33270650112536,"hte",250,16,2,4000,"4"
"fpt1",1,4,TRUE,1,0,0,1.4258320950903,"hte",250,16,2,4000,"4"
"fpt1",1,5,FALSE,0,0,0,1.34931521106046,"hte",250,16,2,4000,"4"
"fpt1",1,6,FALSE,0,0,0,1.36109177721664,"hte",250,16,2,4000,"4"
"fpt1",1,7,TRUE,1,0,0,1.40244304109365,"hte",250,16,2,4000,"4"
"fpt1",1,8,FALSE,0,0,0,1.32520462805405,"hte",250,16,2,4000,"4"
"fpt1",1,9,TRUE,1,0,0,1.37389266712125,"hte",250,16,2,4000,"4"
"fpt1",1,10,FALSE,0,0,0,1.34630185517017,"hte",250,16,2,4000,"4"
"fpt2",1,1,FALSE,0,0,0,1.20043943601195,"hte",250,16,2,4000,"4"
"fpt2",1,2,FALSE,0,0,0,1.16308228694834,"hte",250,16,2,4000,"4"
"fpt2",1,3,FALSE,0,0,0,1.21029812796041,"hte",250,16,2,4000,"4"
"fpt2",1,4,FALSE,0,0,0,1.21753297094256,"hte",250,16,2,4000,"4"
"fpt2",1,5,TRUE,1,0,0,1.27369852096308,"hte",250,16,2,4000,"4"
"fpt2",1,6,FALSE,0,0,0,1.21596524794586,"hte",250,16,2,4000,"4"
"fpt2",1,7,FALSE,0,0,0,1.18123291898519,"hte",250,16,2,4000,"4"
"fpt2",1,8,FALSE,0,0,0,1.20778128702659,"hte",250,16,2,4000,"4"
"fpt2",1,9,FALSE,0,0,0,1.18126196495723,"hte",250,16,2,4000,"4"
"fpt2",1,10,TRUE,1,0,0,1.26412776100915,"hte",250,16,2,4000,"4"
