"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.173972566029988,"hte",250,16,2,1000,"5"
"grad",1,2,FALSE,0,0,0,0.138517913990654,"hte",250,16,2,1000,"5"
"grad",1,3,FALSE,0,0,0,0.140246858936734,"hte",250,16,2,1000,"5"
"grad",1,4,FALSE,0,0,0,0.142587622976862,"hte",250,16,2,1000,"5"
"grad",1,5,FALSE,0,0,0,0.143621771014296,"hte",250,16,2,1000,"5"
"grad",1,6,FALSE,0,0,0,0.143430692958646,"hte",250,16,2,1000,"5"
"grad",1,7,FALSE,0,0,0,0.178185263997875,"hte",250,16,2,1000,"5"
"grad",1,8,FALSE,0,0,0,0.170845829998143,"hte",250,16,2,1000,"5"
"grad",1,9,FALSE,0,0,0,0.143754328950308,"hte",250,16,2,1000,"5"
"grad",1,10,FALSE,0,0,0,0.143905008910224,"hte",250,16,2,1000,"5"
"fpt1",1,1,FALSE,0,0,0,0.158283146098256,"hte",250,16,2,1000,"5"
"fpt1",1,2,FALSE,0,0,0,0.123815643135458,"hte",250,16,2,1000,"5"
"fpt1",1,3,FALSE,0,0,0,0.150742963072844,"hte",250,16,2,1000,"5"
"fpt1",1,4,FALSE,0,0,0,0.151503906119615,"hte",250,16,2,1000,"5"
"fpt1",1,5,FALSE,0,0,0,0.125442789983936,"hte",250,16,2,1000,"5"
"fpt1",1,6,FALSE,0,0,0,0.152343400055543,"hte",250,16,2,1000,"5"
"fpt1",1,7,FALSE,0,0,0,0.152306382078677,"hte",250,16,2,1000,"5"
"fpt1",1,8,FALSE,0,0,0,0.126091307029128,"hte",250,16,2,1000,"5"
"fpt1",1,9,FALSE,0,0,0,0.125533137004822,"hte",250,16,2,1000,"5"
"fpt1",1,10,FALSE,0,0,0,0.152747828047723,"hte",250,16,2,1000,"5"
"fpt2",1,1,FALSE,0,0,0,0.135906670009717,"hte",250,16,2,1000,"5"
"fpt2",1,2,FALSE,0,0,0,0.109005008009262,"hte",250,16,2,1000,"5"
"fpt2",1,3,FALSE,0,0,0,0.109875983092934,"hte",250,16,2,1000,"5"
"fpt2",1,4,FALSE,0,0,0,0.111846802057698,"hte",250,16,2,1000,"5"
"fpt2",1,5,FALSE,0,0,0,0.150257474044338,"hte",250,16,2,1000,"5"
"fpt2",1,6,FALSE,0,0,0,0.139698529033922,"hte",250,16,2,1000,"5"
"fpt2",1,7,FALSE,0,0,0,0.140127650112845,"hte",250,16,2,1000,"5"
"fpt2",1,8,FALSE,0,0,0,0.14010591013357,"hte",250,16,2,1000,"5"
"fpt2",1,9,FALSE,0,0,0,0.113539857091382,"hte",250,16,2,1000,"5"
"fpt2",1,10,FALSE,0,0,0,0.11435173812788,"hte",250,16,2,1000,"5"
