"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,1.36905335693154,"hte",500,16,2,2000,"1"
"grad",1,2,FALSE,0,0,0,1.33349001896568,"hte",500,16,2,2000,"1"
"grad",1,3,FALSE,0,0,0,1.35079286096152,"hte",500,16,2,2000,"1"
"grad",1,4,TRUE,1,0,0,1.44889818795491,"hte",500,16,2,2000,"1"
"grad",1,5,FALSE,0,0,0,1.36454570794012,"hte",500,16,2,2000,"1"
"grad",1,6,FALSE,0,0,0,1.34886973886751,"hte",500,16,2,2000,"1"
"grad",1,7,TRUE,0,1,0,1.49429863493424,"hte",500,16,2,2000,"1"
"grad",1,8,FALSE,0,0,0,1.37061708595138,"hte",500,16,2,2000,"1"
"grad",1,9,FALSE,0,0,0,1.35033263196237,"hte",500,16,2,2000,"1"
"grad",1,10,TRUE,1,0,0,1.4375314709032,"hte",500,16,2,2000,"1"
"fpt1",1,1,TRUE,1,1,0,1.19557315506972,"hte",500,16,2,2000,"1"
"fpt1",1,2,FALSE,0,0,0,1.14453225617763,"hte",500,16,2,2000,"1"
"fpt1",1,3,TRUE,1,0,0,1.17561311007012,"hte",500,16,2,2000,"1"
"fpt1",1,4,TRUE,0,1,0,1.21958784607705,"hte",500,16,2,2000,"1"
"fpt1",1,5,TRUE,0,0,1,1.39596368512139,"hte",500,16,2,2000,"1"
"fpt1",1,6,FALSE,0,0,0,1.16174321109429,"hte",500,16,2,2000,"1"
"fpt1",1,7,FALSE,0,0,0,1.12457235401962,"hte",500,16,2,2000,"1"
"fpt1",1,8,FALSE,0,0,0,1.17038908903487,"hte",500,16,2,2000,"1"
"fpt1",1,9,TRUE,1,0,0,1.23124840902165,"hte",500,16,2,2000,"1"
"fpt1",1,10,FALSE,0,0,0,1.16396416001953,"hte",500,16,2,2000,"1"
"fpt2",1,1,TRUE,1,1,0,1.10826280293986,"hte",500,16,2,2000,"1"
"fpt2",1,2,FALSE,0,0,0,1.06189443590119,"hte",500,16,2,2000,"1"
"fpt2",1,3,TRUE,1,0,0,1.11307805601973,"hte",500,16,2,2000,"1"
"fpt2",1,4,TRUE,0,1,0,1.11268761695828,"hte",500,16,2,2000,"1"
"fpt2",1,5,TRUE,0,0,1,1.30479402898345,"hte",500,16,2,2000,"1"
"fpt2",1,6,FALSE,0,0,0,1.04653893900104,"hte",500,16,2,2000,"1"
"fpt2",1,7,FALSE,0,0,0,1.0133920609951,"hte",500,16,2,2000,"1"
"fpt2",1,8,FALSE,0,0,0,1.02330665895715,"hte",500,16,2,2000,"1"
"fpt2",1,9,FALSE,0,0,0,1.08413723192643,"hte",500,16,2,2000,"1"
"fpt2",1,10,TRUE,1,0,0,1.1285251788795,"hte",500,16,2,2000,"1"
