"method","rep","iter","gc","gc0","gc1","gc2","time","model_type","num.trees","K","p","n","setting_id"
"grad",1,1,FALSE,0,0,0,0.220916184014641,"hte",250,4,2,1000,"1"
"grad",1,2,FALSE,0,0,0,0.184325019130483,"hte",250,4,2,1000,"1"
"grad",1,3,FALSE,0,0,0,0.184844822040759,"hte",250,4,2,1000,"1"
"grad",1,4,FALSE,0,0,0,0.186053190147504,"hte",250,4,2,1000,"1"
"grad",1,5,FALSE,0,0,0,0.187619884149171,"hte",250,4,2,1000,"1"
"grad",1,6,FALSE,0,0,0,0.187081173993647,"hte",250,4,2,1000,"1"
"grad",1,7,FALSE,0,0,0,0.187100382056087,"hte",250,4,2,1000,"1"
"grad",1,8,FALSE,0,0,0,0.186846251133829,"hte",250,4,2,1000,"1"
"grad",1,9,FALSE,0,0,0,0.188454952090979,"hte",250,4,2,1000,"1"
"grad",1,10,FALSE,0,0,0,0.188323838054202,"hte",250,4,2,1000,"1"
"fpt1",1,1,FALSE,0,0,0,0.209902470000088,"hte",250,4,2,1000,"1"
"fpt1",1,2,FALSE,0,0,0,0.174799525062554,"hte",250,4,2,1000,"1"
"fpt1",1,3,FALSE,0,0,0,0.175283798016608,"hte",250,4,2,1000,"1"
"fpt1",1,4,FALSE,0,0,0,0.174314607051201,"hte",250,4,2,1000,"1"
"fpt1",1,5,FALSE,0,0,0,0.174409304163419,"hte",250,4,2,1000,"1"
"fpt1",1,6,FALSE,0,0,0,0.174158810055815,"hte",250,4,2,1000,"1"
"fpt1",1,7,FALSE,0,0,0,0.175415543024428,"hte",250,4,2,1000,"1"
"fpt1",1,8,FALSE,0,0,0,0.175128127099015,"hte",250,4,2,1000,"1"
"fpt1",1,9,FALSE,0,0,0,0.176221322151832,"hte",250,4,2,1000,"1"
"fpt1",1,10,FALSE,0,0,0,0.174897824064828,"hte",250,4,2,1000,"1"
"fpt2",1,1,FALSE,0,0,0,0.197866614093073,"hte",250,4,2,1000,"1"
"fpt2",1,2,FALSE,0,0,0,0.196183672058396,"hte",250,4,2,1000,"1"
"fpt2",1,3,FALSE,0,0,0,0.161329517024569,"hte",250,4,2,1000,"1"
"fpt2",1,4,FALSE,0,0,0,0.162296364083886,"hte",250,4,2,1000,"1"
"fpt2",1,5,FALSE,0,0,0,0.16381102509331,"hte",250,4,2,1000,"1"
"fpt2",1,6,FALSE,0,0,0,0.162578697083518,"hte",250,4,2,1000,"1"
"fpt2",1,7,FALSE,0,0,0,0.162733606994152,"hte",250,4,2,1000,"1"
"fpt2",1,8,FALSE,0,0,0,0.162330365157686,"hte",250,4,2,1000,"1"
"fpt2",1,9,FALSE,0,0,0,0.163262633024715,"hte",250,4,2,1000,"1"
"fpt2",1,10,FALSE,0,0,0,0.198408572119661,"hte",250,4,2,1000,"1"
